card_id,account_id,card_number,card_type,network,issue_date,expiry_date,credit_limit,card_status,card_holder_name,cvv,pin_generation_status,contactless_enabled,international_usage_enabled,created_at,updated_at,source_system
CD00000001,ACC00000001,4040341571107891,Debit,Mastercard,2022-11-04,2027-11-03,0.0,Active,MANTHAN ACHARYA,173,Generated,Yes,No,2026-08-03 11:20:11.614517,,Enterprise System
CD00000002,ACC00000001,6796563255581397,Debit,Visa,2020-02-28,2025-02-26,0.0,Active,MANTHAN ACHARYA,415,Pending,Yes,No,2026-08-03 11:20:11.614517,,Enterprise System
CD00000003,ACC00000002,6309876592277052,Debit,Mastercard,2008-01-13,2013-01-11,0.0,Active,ISHWAR DHAR,318,Generated,Yes,No,2026-08-03 11:20:11.615514,,Enterprise System
CD00000004,ACC00000004,5418468684648675,Debit,RuPay,2019-05-02,2024-04-30,0.0,Active,ISHAAN SAHNI,942,Generated,Yes,No,2026-08-03 11:20:11.615514,,Enterprise System
CD00000005,ACC00000004,6109393726968880,Debit,Mastercard,2017-09-08,2022-09-07,0.0,Active,ISHAAN SAHNI,470,Generated,Yes,No,2026-08-03 11:20:11.616513,,Enterprise System
CD00000006,ACC00000005,5180046550363112,Debit,Visa,2024-01-28,2029-01-26,0.0,Active,NIMRAT BAIL,547,Generated,Yes,No,2026-08-03 11:20:11.616513,,Enterprise System
CD00000007,ACC00000005,4582344842752649,Debit,American Express,2015-03-05,2020-03-03,0.0,Active,NIMRAT BAIL,870,Generated,Yes,No,2026-08-03 11:20:11.617513,,Enterprise System
CD00000008,ACC00000006,7840752812422275,Credit,Visa,2013-10-27,2018-10-26,200000.0,Active,YATIN KANT,903,Generated,Yes,No,2026-08-03 11:20:11.617513,,Enterprise System
CD00000009,ACC00000007,7387031947724562,Debit,Visa,2015-07-06,2020-07-04,0.0,Active,CHANDANI SOMAN,527,Generated,Yes,No,2026-08-03 11:20:11.617513,,Enterprise System
CD00000010,ACC00000008,1823608725957162,Debit,Visa,2026-02-14,2031-02-13,0.0,Expired,BAKHSHI DATE,355,Generated,Yes,No,2026-08-03 11:20:11.618513,,Enterprise System
CD00000011,ACC00000009,3537374462583998,Credit,RuPay,2014-02-25,2019-02-24,100000.0,Active,BIMALA CONTRACTOR,944,Generated,Yes,No,2026-08-03 11:20:11.618513,,Enterprise System
CD00000012,ACC00000010,9563658700664629,Debit,RuPay,2023-12-25,2028-12-23,0.0,Active,BRIJESH SHENOY,474,Generated,Yes,No,2026-08-03 11:20:11.619513,,Enterprise System
CD00000013,ACC00000010,1994584526480196,Debit,Visa,2022-05-01,2027-04-30,0.0,Active,BRIJESH SHENOY,127,Generated,Yes,Yes,2026-08-03 11:20:11.619513,,Enterprise System
CD00000014,ACC00000012,6850433961644466,Credit,Visa,2009-05-26,2014-05-25,100000.0,Active,ISHA KARA,483,Generated,Yes,No,2026-08-03 11:20:11.620518,,Enterprise System
CD00000015,ACC00000012,9376264083124823,Debit,RuPay,2016-11-16,2021-11-15,0.0,Active,ISHA KARA,373,Generated,Yes,No,2026-08-03 11:20:11.620518,,Enterprise System
CD00000016,ACC00000013,3471939691333111,Debit,RuPay,2015-12-02,2020-11-30,0.0,Active,FREDERICK RASTOGI,652,Generated,Yes,No,2026-08-03 11:20:11.621513,,Enterprise System
CD00000017,ACC00000014,4289879353547980,Debit,Mastercard,2021-02-28,2026-02-27,0.0,Active,ADVAITH SETTY,558,Generated,Yes,No,2026-08-03 11:20:11.621513,,Enterprise System
CD00000018,ACC00000016,4900278630105611,Debit,Mastercard,2026-06-27,2031-06-26,0.0,Active,VYANJANA CHAD,656,Generated,Yes,No,2026-08-03 11:20:11.621513,,Enterprise System
CD00000019,ACC00000017,1762714718658667,Debit,Visa,2019-08-08,2024-08-06,0.0,Active,BALENDRA CHANDER,855,Generated,Yes,No,2026-08-03 11:20:11.622513,,Enterprise System
CD00000020,ACC00000018,3568718322585464,Credit,Mastercard,2025-09-24,2030-09-23,1000000.0,Blocked,HEMANG KAUR,263,Generated,Yes,No,2026-08-03 11:20:11.623049,,Enterprise System
CD00000021,ACC00000018,8182964023592975,Debit,RuPay,2025-12-27,2030-12-26,0.0,Active,HEMANG KAUR,238,Generated,Yes,No,2026-08-03 11:20:11.623049,,Enterprise System
CD00000022,ACC00000019,8283285995204761,Credit,RuPay,2018-04-25,2023-04-24,100000.0,Active,JAI PINGLE,993,Generated,No,No,2026-08-03 11:20:11.624080,,Enterprise System
CD00000023,ACC00000021,2644020626000001,Credit,Visa,2025-05-13,2030-05-12,1000000.0,Active,MATTHEW GOKHALE,600,Generated,Yes,No,2026-08-03 11:20:11.624080,,Enterprise System
CD00000024,ACC00000022,6279064290968762,Credit,Mastercard,2024-12-15,2029-12-14,200000.0,Active,MEKHALA AURORA,450,Generated,Yes,Yes,2026-08-03 11:20:11.624080,,Enterprise System
CD00000025,ACC00000022,3163430710860366,Debit,Mastercard,2015-05-24,2020-05-22,0.0,Active,MEKHALA AURORA,484,Generated,Yes,No,2026-08-03 11:20:11.625077,,Enterprise System
CD00000026,ACC00000023,2979588284530977,Debit,Visa,2026-03-29,2031-03-28,0.0,Active,UPKAAR VIRK,932,Generated,Yes,No,2026-08-03 11:20:11.625077,,Enterprise System
CD00000027,ACC00000024,7685958579544725,Credit,American Express,2019-05-08,2024-05-06,50000.0,Active,CHAAYA PRABHU,104,Generated,Yes,No,2026-08-03 11:20:11.626078,,Enterprise System
CD00000028,ACC00000025,2977697993819222,Charge,Visa,2013-01-15,2018-01-14,1000000.0,Active,AISHANI BADAL,915,Generated,Yes,Yes,2026-08-03 11:20:11.626078,,Enterprise System
CD00000029,ACC00000025,3148261565997478,Debit,RuPay,2010-01-08,2015-01-07,0.0,Blocked,AISHANI BADAL,848,Generated,Yes,No,2026-08-03 11:20:11.627077,,Enterprise System
CD00000030,ACC00000026,9909520984338542,Credit,RuPay,2022-03-16,2027-03-15,100000.0,Active,GAURAV SATHE,813,Generated,Yes,No,2026-08-03 11:20:11.627077,,Enterprise System
CD00000031,ACC00000027,8478309874361318,Debit,RuPay,2022-05-22,2027-05-21,0.0,Active,UDANT BHAGAT,979,Generated,Yes,Yes,2026-08-03 11:20:11.627077,,Enterprise System
CD00000032,ACC00000028,0465901938530490,Debit,Mastercard,2022-10-15,2027-10-14,0.0,Lost,YASTI SARRAF,306,Generated,Yes,No,2026-08-03 11:20:11.628077,,Enterprise System
CD00000033,ACC00000029,9248608387476218,Debit,Visa,2021-07-12,2026-07-11,0.0,Active,TRIPTI KRISHNAN,125,Generated,Yes,No,2026-08-03 11:20:11.629054,,Enterprise System
CD00000034,ACC00000029,0677362280685832,Debit,Mastercard,2021-06-02,2026-06-01,0.0,Active,TRIPTI KRISHNAN,549,Generated,Yes,No,2026-08-03 11:20:11.629054,,Enterprise System
CD00000035,ACC00000032,2493904099864222,Credit,Visa,2023-02-28,2028-02-27,500000.0,Expired,THOMAS SINGHAL,488,Generated,Yes,Yes,2026-08-03 11:20:11.629054,,Enterprise System
CD00000036,ACC00000032,4152796831403562,Debit,Visa,2022-08-28,2027-08-27,0.0,Active,THOMAS SINGHAL,516,Generated,Yes,Yes,2026-08-03 11:20:11.630076,,Enterprise System
CD00000037,ACC00000033,8470199722250698,Debit,Visa,2021-09-22,2026-09-21,0.0,Active,NITARA RANDHAWA,899,Generated,Yes,Yes,2026-08-03 11:20:11.630076,,Enterprise System
CD00000038,ACC00000039,3638323931061067,Credit,Mastercard,2021-10-02,2026-10-01,50000.0,Closed,NIHAL SHERE,333,Pending,Yes,Yes,2026-08-03 11:20:11.631077,,Enterprise System
CD00000039,ACC00000039,9868307520210649,Credit,Mastercard,2017-03-20,2022-03-19,200000.0,Active,NIHAL SHERE,463,Generated,Yes,No,2026-08-03 11:20:11.631077,,Enterprise System
CD00000040,ACC00000041,8362353860856106,Debit,RuPay,2025-03-17,2030-03-16,0.0,Blocked,LAKSHIT VYAS,344,Generated,Yes,No,2026-08-03 11:20:11.631077,,Enterprise System
CD00000041,ACC00000042,8914321793090646,Debit,RuPay,2026-08-01,2031-07-31,0.0,Active,MOHINI SOLANKI,137,Generated,No,No,2026-08-03 11:20:11.631077,,Enterprise System
CD00000042,ACC00000045,0167458877006193,Debit,Mastercard,2014-02-27,2019-02-26,0.0,Active,BHAVINI SUNDARAM,567,Generated,Yes,No,2026-08-03 11:20:11.632606,,Enterprise System
CD00000043,ACC00000046,9886823166122999,Debit,Mastercard,2025-05-25,2030-05-24,0.0,Active,GIRIK BASSI,165,Generated,Yes,No,2026-08-03 11:20:11.632606,,Enterprise System
CD00000044,ACC00000046,9055987876257444,Debit,Visa,2025-08-29,2030-08-28,0.0,Active,GIRIK BASSI,588,Generated,Yes,No,2026-08-03 11:20:11.633647,,Enterprise System
CD00000045,ACC00000048,5440933151060114,Debit,Visa,2023-04-19,2028-04-17,0.0,Active,UDARSH NATH,442,Generated,Yes,Yes,2026-08-03 11:20:11.633647,,Enterprise System
CD00000046,ACC00000050,8445092345031256,Debit,RuPay,2017-11-30,2022-11-29,0.0,Blocked,CHAMAN HANS,609,Generated,Yes,Yes,2026-08-03 11:20:11.634642,,Enterprise System
CD00000047,ACC00000050,1413300689579885,Prepaid,Visa,2019-06-22,2024-06-20,25000.0,Active,CHAMAN HANS,763,Generated,Yes,No,2026-08-03 11:20:11.634642,,Enterprise System
CD00000048,ACC00000051,4756643083097509,Debit,Mastercard,2025-06-14,2030-06-13,0.0,Active,AMRUTA SACHDEVA,606,Generated,No,No,2026-08-03 11:20:11.634642,,Enterprise System
CD00000049,ACC00000052,2137739735026548,Credit,RuPay,2022-03-01,2027-02-28,100000.0,Active,DAKSHESH HEGDE,371,Generated,Yes,Yes,2026-08-03 11:20:11.635644,,Enterprise System
CD00000050,ACC00000052,5854120282368750,Debit,RuPay,2019-09-22,2024-09-20,0.0,Active,DAKSHESH HEGDE,154,Generated,Yes,No,2026-08-03 11:20:11.635644,,Enterprise System
CD00000051,ACC00000053,9714275142559704,Prepaid,RuPay,2017-02-11,2022-02-10,10000.0,Active,HRITIK SOLANKI,326,Generated,Yes,No,2026-08-03 11:20:11.636641,,Enterprise System
CD00000052,ACC00000053,6675055450707378,Prepaid,Visa,2016-01-31,2021-01-29,25000.0,Active,HRITIK SOLANKI,465,Generated,Yes,No,2026-08-03 11:20:11.636641,,Enterprise System
CD00000053,ACC00000056,0607386090684831,Debit,RuPay,2018-03-19,2023-03-18,0.0,Active,PRANIT GANGULY,516,Generated,No,No,2026-08-03 11:20:11.637641,,Enterprise System
CD00000054,ACC00000056,8201666791113216,Credit,RuPay,2017-02-19,2022-02-18,1000000.0,Active,PRANIT GANGULY,535,Generated,No,No,2026-08-03 11:20:11.637641,,Enterprise System
CD00000055,ACC00000057,3899404128042498,Debit,American Express,2018-08-02,2023-08-01,0.0,Active,MAYA WADHWA,283,Generated,Yes,No,2026-08-03 11:20:11.637641,,Enterprise System
CD00000056,ACC00000057,3340674961182595,Credit,American Express,2013-10-13,2018-10-12,500000.0,Active,MAYA WADHWA,592,Generated,Yes,No,2026-08-03 11:20:11.638641,,Enterprise System
CD00000057,ACC00000058,8931666344706638,Debit,RuPay,2021-02-14,2026-02-13,0.0,Active,YASHVI WARRIOR,759,Generated,No,No,2026-08-03 11:20:11.638641,,Enterprise System
CD00000058,ACC00000059,8443625025481099,Credit,Visa,2025-07-19,2030-07-18,50000.0,Active,YASHODA SANDHU,469,Generated,Yes,No,2026-08-03 11:20:11.639642,,Enterprise System
CD00000059,ACC00000060,7701499493468880,Debit,Visa,2026-06-26,2031-06-25,0.0,Active,VEDHIKA WALI,728,Generated,No,No,2026-08-03 11:20:11.639642,,Enterprise System
CD00000060,ACC00000060,8451529164991284,Credit,Mastercard,2026-07-16,2031-07-15,100000.0,Active,VEDHIKA WALI,293,Generated,Yes,No,2026-08-03 11:20:11.639642,,Enterprise System
CD00000061,ACC00000061,6118505898206456,Debit,Mastercard,2025-01-21,2030-01-20,0.0,Active,CHAITANYA KAUR,872,Generated,Yes,No,2026-08-03 11:20:11.640641,,Enterprise System
CD00000062,ACC00000062,4635309139981286,Debit,Mastercard,2021-06-30,2026-06-29,0.0,Active,WARHI CHOUDHRY,152,Generated,Yes,No,2026-08-03 11:20:11.640641,,Enterprise System
