employee_id,branch_id,first_name,last_name,designation,department,hire_date,salary,employee_status,created_at,updated_at,source_system
EMP00000001,BR00000012,Lajita,Chatterjee,Senior Associate,Corporate Banking,2018-10-20,622573.16,Resigned,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000002,BR00000012,Hemangini,Lalla,Manager,Customer Service,2008-01-24,1421616.88,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000003,BR00000044,Tripti,Yadav,Senior Associate,Human Resources,2010-11-01,638233.66,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000004,BR00000002,Kritika,Brar,Manager,Retail Banking,2025-05-15,1939354.78,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000005,BR00000049,Chaaya,Pathak,Associate,Corporate Banking,2026-03-26,438419.66,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000006,BR00000034,Rehaan,Boase,Manager,Operations,2008-02-23,1955458.29,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000007,BR00000044,Vedant,Mann,Associate,Operations,2009-04-20,570354.05,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000008,BR00000003,Viraj,Chaudhuri,Officer,Finance,2019-07-10,934715.95,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000009,BR00000031,Arunima,Setty,Officer,Risk,2018-12-31,780041.71,On Leave,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000010,BR00000039,Nicholas,Prabhakar,Associate,Retail Banking,2018-09-04,564648.31,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000011,BR00000012,Shaurya,Loke,Assistant Manager,Technology,2009-01-06,1074829.21,On Leave,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000012,BR00000025,Onveer,Walla,Manager,Risk,2014-12-01,1414198.66,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000013,BR00000047,Nihal,Shere,Associate,Corporate Banking,2019-07-01,591722.28,Active,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000014,BR00000045,Anamika,Kanda,Officer,Human Resources,2017-08-15,903855.44,Suspended,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000015,BR00000020,Daksh,Karnik,Associate,Retail Banking,2007-09-05,378835.44,Terminated,2026-08-03 11:19:26.801359,,Enterprise System
EMP00000016,BR00000039,Diya,Rattan,Associate,Compliance,2015-09-12,359564.3,Active,2026-08-03 11:19:26.802360,,Enterprise System
EMP00000017,BR00000007,Dominic,Kakar,Associate,Finance,2025-11-19,459098.47,Terminated,2026-08-03 11:19:26.802360,,Enterprise System
EMP00000018,BR00000046,Divya,Kala,Associate,Risk,2023-07-29,413680.63,Active,2026-08-03 11:19:26.802360,,Enterprise System
EMP00000019,BR00000031,Meghana,Shanker,Associate,Customer Service,2011-06-13,521714.29,Retired,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000020,BR00000045,Alka,Dewan,Officer,Risk,2014-12-23,809266.44,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000021,BR00000048,Adya,Sangha,Officer,Finance,2026-06-10,886946.62,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000022,BR00000042,Mohini,Pathak,Associate,Compliance,2014-01-18,476780.63,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000023,BR00000049,Lakshit,Upadhyay,Associate,Compliance,2023-05-19,488603.12,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000024,BR00000006,Gavin,Batta,Officer,Human Resources,2010-04-26,903195.38,Resigned,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000025,BR00000008,Michael,Dutta,Officer,Compliance,2020-12-13,821822.55,Suspended,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000026,BR00000043,Devansh,Rajan,Associate,Risk,2019-07-28,457472.04,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000027,BR00000002,Upadhriti,Wadhwa,Officer,Technology,2015-02-21,832535.81,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000028,BR00000013,Advay,Contractor,Senior Associate,Operations,2024-11-09,797655.22,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000029,BR00000045,Amara,Oak,Officer,Finance,2010-05-20,728016.16,Retired,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000030,BR00000002,Chaaya,Saran,Associate,Compliance,2011-12-20,406160.17,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000031,BR00000042,Sudiksha,Aggarwal,Associate,Risk,2015-07-20,595984.01,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000032,BR00000026,Xiti,Gokhale,Assistant Manager,Technology,2023-11-11,1107220.51,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000033,BR00000008,Hitesh,Misra,Associate,Human Resources,2023-11-11,473594.29,Active,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000034,BR00000035,Rushil,Dua,Officer,Retail Banking,2019-04-23,967797.95,Suspended,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000035,BR00000026,Neel,Zacharia,Manager,Human Resources,2024-08-19,1531304.68,On Leave,2026-08-03 11:19:26.802528,,Enterprise System
EMP00000036,BR00000049,Aadi,Naik,Officer,Technology,2023-03-19,715065.52,Active,2026-08-03 11:19:26.803574,,Enterprise System
