alert_id,transaction_id,fraud_score,alert_reason,alert_status,alert_timestamp,assigned_to,assignee_emp_id,resolution_date,created_at,updated_at,source_system
ALR00000001,TR00160546,77,Multiple Failed Attempts,False Positive,2026-02-03 02:26:38,Lakshit Dora,EMP00000159,2026-02-08,2026-08-03 11:22:26.945287,,Fraud Detection System
ALR00000002,TR00006334,79,High Transaction Amount,Resolved,2017-01-14 18:50:20,Chaaya Saran,EMP00000030,2017-01-15,2026-08-03 11:22:26.946288,,Fraud Detection System
ALR00000003,TR00068708,10,Velocity Check Failed,Under Investigation,2014-10-23 14:36:13,Banjeet Balasubramanian,EMP00000182,,2026-08-03 11:22:26.947288,,Fraud Detection System
ALR00000004,TR00055722,68,High Transaction Amount,Under Investigation,2010-10-07 20:30:36,Anirudh Zacharia,EMP00000180,,2026-08-03 11:22:26.948287,,Fraud Detection System
ALR00000005,TR00185180,92,High Transaction Amount,Under Investigation,2013-07-11 13:39:36,Pallavi Kakar,EMP00000043,,2026-08-03 11:22:26.949287,,Fraud Detection System
ALR00000006,TR00169938,27,Multiple Failed Attempts,Resolved,2025-11-23 18:17:49,Kiaan Shetty,EMP00000150,2025-12-06,2026-08-03 11:22:26.949287,,Fraud Detection System
ALR00000007,TR00223781,12,Velocity Check Failed,Open,2025-08-01 08:30:36,,,,2026-08-03 11:22:26.950287,,Fraud Detection System
ALR00000008,TR00021941,87,Location Mismatch,Resolved,2020-04-28 23:59:24,Lakshit Dora,EMP00000159,2020-05-09,2026-08-03 11:22:26.951287,,Fraud Detection System
ALR00000009,TR00105976,3,Velocity Check Failed,Resolved,2013-04-30 21:16:14,Devansh Sachdeva,EMP00000161,2013-05-10,2026-08-03 11:22:26.951287,,Fraud Detection System
ALR00000010,TR00007527,41,Location Mismatch,Resolved,2017-03-30 19:24:22,Veer Bir,EMP00000050,2017-04-05,2026-08-03 11:22:26.952792,,Fraud Detection System
ALR00000011,TR00054486,38,Velocity Check Failed,Open,2022-12-14 21:41:09,,,,2026-08-03 11:22:26.952792,,Fraud Detection System
ALR00000012,TR00126936,18,High Transaction Amount,Under Investigation,2022-02-12 03:43:53,Lakshit Dora,EMP00000159,,2026-08-03 11:22:26.953798,,Fraud Detection System
ALR00000013,TR00006653,25,Velocity Check Failed,Resolved,2026-07-09 17:51:17,Nicholas Goel,EMP00000108,2026-07-13,2026-08-03 11:22:26.954803,,Fraud Detection System
ALR00000014,TR00049576,34,Velocity Check Failed,Resolved,2014-09-22 16:27:46,Riya Pai,EMP00000314,2014-10-18,2026-08-03 11:22:26.955803,,Fraud Detection System
ALR00000015,TR00163200,11,Velocity Check Failed,Under Investigation,2018-10-11 06:33:23,Kashvi Sarma,EMP00000045,,2026-08-03 11:22:26.955803,,Fraud Detection System
ALR00000016,TR00136995,47,Card Not Present,Open,2019-09-02 06:13:32,,,,2026-08-03 11:22:26.956803,,Fraud Detection System
ALR00000017,TR00054923,6,High Transaction Amount,Under Investigation,2021-07-01 23:05:26,Zayan Behl,EMP00000096,,2026-08-03 11:22:26.957804,,Fraud Detection System
ALR00000018,TR00148010,64,Blacklisted Merchant,Resolved,2026-06-17 16:40:15,Jagdish Koshy,EMP00000078,2026-06-21,2026-08-03 11:22:26.958811,,Fraud Detection System
ALR00000019,TR00203857,96,Blacklisted Merchant,Under Investigation,2024-08-06 08:03:28,Kashvi Sarma,EMP00000045,,2026-08-03 11:22:26.958811,,Fraud Detection System
ALR00000020,TR00001765,69,Velocity Check Failed,Resolved,2011-12-19 03:09:46,Indira Misra,EMP00000166,2012-01-16,2026-08-03 11:22:26.959804,,Fraud Detection System
ALR00000021,TR00203015,42,Velocity Check Failed,Resolved,2019-12-18 11:53:35,Devansh Rajan,EMP00000026,2020-01-07,2026-08-03 11:22:26.960803,,Fraud Detection System
ALR00000022,TR00175368,36,Blacklisted Merchant,Closed,2025-09-30 21:09:31,Lajita Seshadri,EMP00000235,2025-10-01,2026-08-03 11:22:26.960803,,Fraud Detection System
ALR00000023,TR00085139,74,High Transaction Amount,False Positive,2025-10-19 01:48:48,Adweta Edwin,EMP00000099,2025-10-20,2026-08-03 11:22:26.962416,,Fraud Detection System
ALR00000024,TR00038829,10,Multiple Failed Attempts,Closed,2014-03-15 02:22:48,Diya Rattan,EMP00000016,2014-03-19,2026-08-03 11:22:26.963314,,Fraud Detection System
ALR00000025,TR00239466,5,Unusual Spending Pattern,False Positive,2023-03-22 22:13:22,Kiaan Shetty,EMP00000150,2023-04-01,2026-08-03 11:22:26.964315,,Fraud Detection System
ALR00000026,TR00084356,66,Blacklisted Merchant,Resolved,2024-10-23 09:38:49,Pallavi Kakar,EMP00000043,2024-11-03,2026-08-03 11:22:26.965321,,Fraud Detection System
ALR00000027,TR00023297,65,High Transaction Amount,Under Investigation,2018-01-07 13:23:51,Benjamin Morar,EMP00000104,,2026-08-03 11:22:26.965321,,Fraud Detection System
ALR00000028,TR00024277,20,Card Not Present,Open,2026-02-11 10:10:12,,,,2026-08-03 11:22:26.966321,,Fraud Detection System
ALR00000029,TR00212694,70,Card Not Present,Under Investigation,2022-05-14 13:21:49,Zayan Behl,EMP00000096,,2026-08-03 11:22:26.967321,,Fraud Detection System
ALR00000030,TR00151769,53,High Transaction Amount,Resolved,2022-11-28 14:50:21,Yuvraj Handa,EMP00000060,2022-12-22,2026-08-03 11:22:26.967321,,Fraud Detection System
ALR00000031,TR00203363,58,Card Not Present,Resolved,2020-01-01 10:48:38,Akshay Lalla,EMP00000335,2020-01-30,2026-08-03 11:22:26.968320,,Fraud Detection System
ALR00000032,TR00183425,88,Card Not Present,Closed,2021-08-25 13:59:47,Ekaja Zachariah,EMP00000158,2021-08-26,2026-08-03 11:22:26.969321,,Fraud Detection System
ALR00000033,TR00134780,98,Location Mismatch,Open,2016-07-16 07:01:49,,,,2026-08-03 11:22:26.969321,,Fraud Detection System
ALR00000034,TR00243540,31,Blacklisted Merchant,False Positive,2023-09-19 12:15:59,Ojas Ray,EMP00000066,2023-10-16,2026-08-03 11:22:26.970321,,Fraud Detection System
ALR00000035,TR00095077,25,Multiple Failed Attempts,Resolved,2023-02-18 23:07:41,Hritik Kaur,EMP00000338,2023-02-27,2026-08-03 11:22:26.971321,,Fraud Detection System
ALR00000036,TR00138805,41,Velocity Check Failed,Resolved,2026-06-21 22:26:36,Balendra Pingle,EMP00000102,2026-07-17,2026-08-03 11:22:26.972321,,Fraud Detection System
ALR00000037,TR00208480,41,Unusual Spending Pattern,False Positive,2025-06-13 21:32:26,Jack Rajan,EMP00000123,2025-07-03,2026-08-03 11:22:26.972918,,Fraud Detection System
ALR00000038,TR00155624,70,Location Mismatch,Resolved,2025-02-28 11:44:09,Ekaja Zachariah,EMP00000158,2025-03-10,2026-08-03 11:22:26.974016,,Fraud Detection System
ALR00000039,TR00216326,31,Card Not Present,False Positive,2026-04-08 00:12:51,Veer Bir,EMP00000050,2026-04-29,2026-08-03 11:22:26.975009,,Fraud Detection System
ALR00000040,TR00145043,77,Multiple Failed Attempts,Resolved,2026-02-13 09:24:33,Ekaja Zachariah,EMP00000158,2026-03-13,2026-08-03 11:22:26.976013,,Fraud Detection System
ALR00000041,TR00176938,66,Location Mismatch,Under Investigation,2026-07-21 10:33:52,Balveer Bumb,EMP00000079,,2026-08-03 11:22:26.976013,,Fraud Detection System
ALR00000042,TR00011659,42,Multiple Failed Attempts,Under Investigation,2025-01-21 19:57:21,Alka Dewan,EMP00000020,,2026-08-03 11:22:26.977020,,Fraud Detection System
ALR00000043,TR00056808,93,Velocity Check Failed,Resolved,2020-07-27 12:14:04,Zaid Dara,EMP00000149,2020-08-09,2026-08-03 11:22:26.978013,,Fraud Detection System
ALR00000044,TR00072502,3,Blacklisted Merchant,False Positive,2022-06-29 01:16:02,Aditya Shanker,EMP00000084,2022-06-29,2026-08-03 11:22:26.979014,,Fraud Detection System
ALR00000045,TR00020200,32,Velocity Check Failed,False Positive,2026-07-26 10:22:59,Riya Pai,EMP00000314,2026-07-27,2026-08-03 11:22:26.979971,,Fraud Detection System
ALR00000046,TR00058062,58,High Transaction Amount,Open,2025-06-16 20:32:24,,,,2026-08-03 11:22:26.979971,,Fraud Detection System
ALR00000047,TR00025350,96,High Transaction Amount,Under Investigation,2023-04-28 04:40:30,Meghana Maharaj,EMP00000320,,2026-08-03 11:22:26.981010,,Fraud Detection System
ALR00000048,TR00069569,23,Unusual Spending Pattern,Under Investigation,2018-07-02 19:52:47,Zayan Behl,EMP00000096,,2026-08-03 11:22:26.981010,,Fraud Detection System
ALR00000049,TR00159624,86,Velocity Check Failed,Under Investigation,2020-05-17 21:56:05,Prisha Andra,EMP00000100,,2026-08-03 11:22:26.982611,,Fraud Detection System
ALR00000050,TR00091341,47,Location Mismatch,Resolved,2012-01-30 20:31:43,Akshay Lalla,EMP00000335,2012-02-19,2026-08-03 11:22:26.983658,,Fraud Detection System
ALR00000051,TR00092702,30,Blacklisted Merchant,Resolved,2009-11-04 00:41:40,Aditya Shanker,EMP00000084,2009-11-20,2026-08-03 11:22:26.983658,,Fraud Detection System
ALR00000052,TR00052255,16,Unusual Spending Pattern,Resolved,2018-06-05 11:21:47,Kashvi Sarma,EMP00000045,2018-06-18,2026-08-03 11:22:26.984710,,Fraud Detection System
ALR00000053,TR00066667,24,High Transaction Amount,False Positive,2025-10-21 11:28:26,Lakshit Upadhyay,EMP00000023,2025-10-28,2026-08-03 11:22:26.985709,,Fraud Detection System
ALR00000054,TR00234492,76,Card Not Present,Under Investigation,2026-04-06 08:15:33,Aahana Pillay,EMP00000186,,2026-08-03 11:22:26.986710,,Fraud Detection System
ALR00000055,TR00162718,48,Unusual Spending Pattern,Under Investigation,2012-08-27 00:50:57,Chaaya Saran,EMP00000030,,2026-08-03 11:22:26.986710,,Fraud Detection System
ALR00000056,TR00153284,100,Card Not Present,Resolved,2022-07-14 09:10:31,Meghana Maharaj,EMP00000320,2022-07-24,2026-08-03 11:22:26.987716,,Fraud Detection System
ALR00000057,TR00042805,90,Multiple Failed Attempts,Resolved,2026-02-14 03:03:13,Mohini Pathak,EMP00000022,2026-03-02,2026-08-03 11:22:26.988702,,Fraud Detection System
ALR00000058,TR00183243,38,Card Not Present,Resolved,2022-10-05 15:46:28,Nakul Sarma,EMP00000089,2022-10-09,2026-08-03 11:22:26.989708,,Fraud Detection System
ALR00000059,TR00040973,90,Location Mismatch,Closed,2025-11-01 14:09:26,Aditya Shanker,EMP00000084,2025-11-05,2026-08-03 11:22:26.990704,,Fraud Detection System
ALR00000060,TR00095346,84,Location Mismatch,Resolved,2015-11-11 10:06:22,Aahana Pillay,EMP00000186,2015-11-29,2026-08-03 11:22:26.990704,,Fraud Detection System
ALR00000061,TR00247371,66,Blacklisted Merchant,Under Investigation,2023-02-13 16:39:03,Alka Dewan,EMP00000020,,2026-08-03 11:22:26.992298,,Fraud Detection System
ALR00000062,TR00160699,23,Blacklisted Merchant,Resolved,2019-03-01 19:45:31,Balveer Parmar,EMP00000105,2019-03-05,2026-08-03 11:22:26.993334,,Fraud Detection System
ALR00000063,TR00139994,6,Velocity Check Failed,Resolved,2024-06-15 18:16:21,Chandresh Sood,EMP00000074,2024-07-02,2026-08-03 11:22:26.993334,,Fraud Detection System
