account_id,customer_id,branch_id,account_opened_branch_id,account_number,account_type,currency,account_status,open_date,current_balance,interest_rate,account_created_city,account_created_state,created_at,updated_at,source_system
ACC00007001,CUST00005238,BR00000062,BR00000062,677336940242,Savings,INR,Active,2020-09-12,34480.83,2.63,PURBI CHAMPARAN,BIHAR,2026-08-03 12:14:11.377850,,Enterprise System
ACC00007002,CUST00005111,BR00000060,BR00000060,267085769053,Savings,INR,Active,2016-05-31,331987.02,4.14,VIZIANAGARAM,ANDHRA PRADESH,2026-08-03 12:14:11.378857,,Enterprise System
ACC00007003,CUST00005195,BR00000072,BR00000072,798587234628,Salary,INR,Active,2016-05-17,8180.09,3.43,SITAMARHI,BIHAR,2026-08-03 12:14:11.378857,,Enterprise System
ACC00007004,CUST00005854,BR00000055,BR00000055,304806196363,Salary,INR,Active,2024-01-31,103521.08,3.62,MURSHIDABAD,WEST BENGAL,2026-08-03 12:14:11.378857,,Enterprise System
ACC00007005,CUST00005399,BR00000075,BR00000075,084018933476,Savings,INR,Active,2014-01-26,375547.7,3.3,Y.S.R.,ANDHRA PRADESH,2026-08-03 12:14:11.378857,,Enterprise System
ACC00007006,CUST00005333,BR00000054,BR00000061,339470629752,Savings,INR,Active,2021-09-07,390150.8,3.77,HOOGHLY,WEST BENGAL,2026-08-03 12:14:11.380361,,Enterprise System
ACC00007007,CUST00005269,BR00000051,BR00000051,533438218537,Savings,INR,Active,2022-03-09,406395.29,4.43,HYDERABAD,TELANGANA,2026-08-03 12:14:11.380361,,Enterprise System
ACC00007008,CUST00005174,BR00000056,BR00000056,170372301410,Savings,INR,Closed,2024-07-29,367688.39,3.13,SRIKAKULAM,ANDHRA PRADESH,2026-08-03 12:14:11.380361,,Enterprise System
ACC00007009,CUST00005773,BR00000075,BR00000075,674554390830,Recurring Deposit,INR,Dormant,2021-08-30,500863.6,6.71,Y.S.R.,ANDHRA PRADESH,2026-08-03 12:14:11.380361,,Enterprise System
ACC00007010,CUST00005232,BR00000070,BR00000070,262096085977,Savings,INR,Active,2025-05-05,356448.23,3.7,NAGAUR,RAJASTHAN,2026-08-03 12:14:11.381366,,Enterprise System
ACC00007011,CUST00005193,BR00000068,BR00000068,301834844813,Fixed Deposit,INR,Active,2018-02-12,3877812.83,5.53,KARIMNAGAR,TELANGANA,2026-08-03 12:14:11.381366,,Enterprise System
ACC00007012,CUST00005883,BR00000051,BR00000051,661275250904,Savings,INR,Active,2021-06-09,229805.3,3.79,HYDERABAD,TELANGANA,2026-08-03 12:14:11.381366,,Enterprise System
ACC00007013,CUST00005795,BR00000059,BR00000059,077852155696,Salary,INR,Active,2014-04-05,21597.51,3.91,KODAGU,KARNATAKA,2026-08-03 12:14:11.381366,,Enterprise System
ACC00007014,CUST00005572,BR00000074,BR00000056,532536819381,Savings,INR,Closed,2009-01-13,12694.56,4.43,SRIKAKULAM,ANDHRA PRADESH,2026-08-03 12:14:11.382372,,Enterprise System
ACC00007015,CUST00005890,BR00000072,BR00000072,267833709089,Savings,INR,Active,2025-09-02,197061.86,3.42,SITAMARHI,BIHAR,2026-08-03 12:14:11.382372,,Enterprise System
ACC00007016,CUST00005987,BR00000052,BR00000051,919906054572,Savings,INR,Frozen,2022-06-25,284987.63,2.94,HYDERABAD,TELANGANA,2026-08-03 12:14:11.383374,,Enterprise System
ACC00007017,CUST00005784,BR00000074,BR00000074,519767280411,Savings,INR,Active,2015-07-28,358091.92,4.23,KODAGU,KARNATAKA,2026-08-03 12:14:11.383374,,Enterprise System
ACC00007018,CUST00005554,BR00000064,BR00000064,935439603038,Current,INR,Active,2013-04-14,2135826.02,0.0,THIRUVARUR,TAMIL NADU,2026-08-03 12:14:11.383374,,Enterprise System
ACC00007019,CUST00005718,BR00000065,BR00000065,447465949582,Recurring Deposit,INR,Active,2022-09-10,627200.89,6.38,HOOGHLY,WEST BENGAL,2026-08-03 12:14:11.384371,,Enterprise System
ACC00007020,CUST00005750,BR00000068,BR00000068,773937273430,Current,INR,Active,2008-02-22,331384.39,0.0,KARIMNAGAR,TELANGANA,2026-08-03 12:14:11.384371,,Enterprise System
