customer_id,first_name,last_name,dob,gender,email,phone,occupation,annual_income,customer_since,risk_rating,customer_status,created_at,updated_at,source_system
CUST00005001,Oeshi,Mani,1965-03-01,Non-Binary,oeshi.mani527@outlook.com,+919271532481,English as a second language teacher,500000.0,2018-02-22,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005002,Sachi,Shanker,1981-07-26,Non-Binary,sachi.shanker846@hotmail.com,+919619662367,Structural engineer,500000.0,2014-08-18,High,Dormant,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005003,Harinakshi,Sarin,2006-11-01,Female,harinakshi.sarin672@hotmail.com,+919016139028,Building surveyor,500000.0,2025-04-20,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005004,Unni,Lalla,1958-12-25,Female,unni.lalla817@gmail.com,+919757049910,Public librarian,300000.0,2021-08-02,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005005,Chakradev,Kurian,1953-04-09,Female,chakradev.kurian945@outlook.com,+919370355299,Seismic interpreter,800000.0,1982-02-02,Medium,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005006,Krishna,Dash,1954-11-30,Male,krishna.dash799@yahoo.com,+919552878580,Maintenance engineer,800000.0,2019-11-12,Medium,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005007,Jhalak,Peri,1987-08-14,Female,jhalak.peri755@hotmail.com,+919944975096,Estate agent,300000.0,2013-06-14,High,Blocked,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005008,Mitali,Sengupta,1977-12-25,Female,mitali.sengupta838@outlook.com,+919082212765,"Designer, ceramics/pottery",500000.0,1997-09-02,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005009,Ansh,Natt,1962-08-15,Prefer Not to Say,ansh.natt759@yahoo.com,+919641906243,Geoscientist,300000.0,2002-05-07,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005010,Abhiram,Gera,1995-09-18,Non-Binary,abhiram.gera591@gmail.com,+919599655235,"Buyer, retail",500000.0,2021-01-06,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005011,Abha,Andra,1958-01-02,Female,abha.andra888@outlook.com,+919722286615,"Teacher, primary school",300000.0,1987-01-03,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005012,Rachita,Sani,1954-07-22,Prefer Not to Say,rachita.sani663@yahoo.com,+919120826384,Personnel officer,800000.0,2007-08-23,Medium,Closed,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005013,Ekantika,Kapur,1961-10-06,Prefer Not to Say,ekantika.kapur156@outlook.com,+919275181758,"Surveyor, building control",2000000.0,1999-12-28,Low,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005014,Isha,Hayer,1970-10-27,Non-Binary,isha.hayer947@outlook.com,+919073774905,Industrial buyer,500000.0,1989-03-15,High,Blocked,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005015,Dhruv,Loyal,1965-04-04,Male,dhruv.loyal185@yahoo.com,+919114244946,"Designer, television/film set",500000.0,2014-02-03,High,Blocked,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005016,Kevin,Deo,1951-10-26,Female,kevin.deo136@yahoo.com,+919542255298,Plant breeder/geneticist,300000.0,1988-08-24,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005017,Mekhala,Prakash,1982-09-26,Prefer Not to Say,mekhala.prakash142@yahoo.com,+919985660159,"Teacher, adult education",500000.0,2003-06-20,High,Dormant,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005018,Niharika,Doshi,1956-08-26,Prefer Not to Say,niharika.doshi278@outlook.com,+919640495951,"Radiographer, diagnostic",800000.0,2008-02-11,Medium,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005019,Chaaya,Sood,1968-01-28,Prefer Not to Say,chaaya.sood755@yahoo.com,+919531581730,Insurance claims handler,1200000.0,2020-05-26,Medium,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005020,Mason,Soman,1993-06-20,Non-Binary,mason.soman368@yahoo.com,+919762494626,Advertising account planner,300000.0,2020-12-31,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005021,Gavin,Gole,1980-12-06,Male,gavin.gole703@yahoo.com,+919946946127,Location manager,800000.0,2026-01-07,Medium,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005022,Azad,Ghosh,1963-08-18,Female,azad.ghosh429@gmail.com,+919046681476,Consulting civil engineer,1200000.0,1996-02-10,Medium,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005023,Alka,Memon,1961-12-10,Female,alka.memon871@gmail.com,+919544975982,Nutritional therapist,500000.0,2001-03-07,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005024,Mohammed,Sahni,1954-12-27,Prefer Not to Say,mohammed.sahni164@hotmail.com,+919258985517,Retail banker,1200000.0,2015-01-05,Medium,Dormant,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005025,Ati,Chanda,1983-12-13,Non-Binary,ati.chanda946@outlook.com,+919796848334,"Social research officer, government",500000.0,2022-07-31,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005026,Urvi,Madan,1960-08-16,Non-Binary,urvi.madan857@outlook.com,+919175854049,Ergonomist,300000.0,1993-07-07,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005027,Libni,Lalla,1963-01-04,Male,libni.lalla260@outlook.com,+919292377584,Environmental consultant,2000000.0,1991-12-09,Low,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005028,Harinakshi,Anand,1965-10-01,Male,harinakshi.anand95@gmail.com,+919837035216,Health visitor,800000.0,2008-03-08,Medium,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005029,Neel,Raman,1994-11-05,Non-Binary,neel.raman59@outlook.com,+919986536725,"Social research officer, government",2000000.0,2019-08-06,Low,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005030,Gopal,Loke,1950-09-23,Male,gopal.loke855@gmail.com,+919954393961,Tax inspector,300000.0,1987-06-12,High,Active,2026-08-03 12:12:08.838373,2026-08-03 12:12:08.838373,Enterprise System
CUST00005031,Laksh,Sahota,1946-03-30,Male,laksh.sahota930@outlook.com,+919238368698,Government social research officer,300000.0,2004-04-11,High,Dormant,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005032,Kashvi,Jha,2003-06-11,Female,kashvi.jha119@hotmail.com,+919391341083,Glass blower/designer,500000.0,2021-11-30,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005033,Abha,Basak,1956-06-03,Male,abha.basak114@yahoo.com,+919086935715,Research scientist (maths),300000.0,2023-11-14,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005034,Nathaniel,Sane,2005-10-25,Prefer Not to Say,nathaniel.sane294@gmail.com,+919561274201,Medical sales representative,3500000.0,2025-11-04,Low,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005035,Vrinda,Krishna,2008-05-23,Male,vrinda.krishna127@yahoo.com,+919187689500,Technical brewer,300000.0,2026-07-26,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005036,Teerth,Dayal,1989-08-15,Male,teerth.dayal786@hotmail.com,+919684688740,Curator,800000.0,2011-05-25,Medium,Blocked,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005037,Wishi,Patla,2002-07-11,Non-Binary,wishi.patla929@yahoo.com,+919249716825,Ship broker,500000.0,2021-09-29,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005038,Vritti,Subramaniam,1990-04-15,Non-Binary,vritti.subramaniam27@gmail.com,+919132850673,Arts development officer,500000.0,2014-05-24,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005039,Zehaan,Kota,1975-07-28,Female,zehaan.kota402@outlook.com,+919692384731,Fisheries officer,300000.0,2014-06-10,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005040,Gavin,Chanda,1993-01-19,Male,gavin.chanda688@hotmail.com,+919470415971,Commercial horticulturist,500000.0,2025-02-26,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005041,Charan,Jaggi,1963-10-20,Female,charan.jaggi943@yahoo.com,+919233544919,Housing manager/officer,800000.0,2020-03-27,Medium,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005042,Dakshesh,Edwin,1989-06-05,Male,dakshesh.edwin95@yahoo.com,+919370301362,"Teacher, early years/pre",5000000.0,2010-01-24,Low,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005043,Caleb,Garde,2002-12-01,Non-Binary,caleb.garde19@gmail.com,+919333412855,Architectural technologist,300000.0,2021-03-09,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005044,Dev,Narayanan,1973-07-01,Female,dev.narayanan654@outlook.com,+919290520578,Curator,300000.0,2011-07-13,High,Dormant,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005045,Aryan,Doctor,1976-02-20,Female,aryan.doctor514@hotmail.com,+919027923962,Set designer,2000000.0,2001-04-25,Low,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005046,Neel,Verma,1961-06-04,Non-Binary,neel.verma102@outlook.com,+919943201200,Water engineer,3500000.0,1987-04-20,Low,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005047,Oni,Sangha,1986-10-30,Male,oni.sangha140@hotmail.com,+919487494206,Gaffer,1200000.0,2020-10-28,Medium,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005048,Harrison,Chawla,1953-02-23,Prefer Not to Say,harrison.chawla39@hotmail.com,+919016608197,Television/film/video producer,300000.0,1989-05-31,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005049,Jack,Bhatia,1963-12-15,Prefer Not to Say,jack.bhatia864@hotmail.com,+919687126107,Historic buildings inspector/conservation officer,800000.0,2011-06-29,Medium,Dormant,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005050,Arin,Mittal,1971-08-02,Non-Binary,arin.mittal502@outlook.com,+919158687036,"Surveyor, minerals",500000.0,2024-03-20,High,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005051,Bishakha,Walla,2001-02-04,Male,bishakha.walla514@hotmail.com,+919851391689,Community pharmacist,800000.0,2019-01-31,Medium,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005052,Ira,Dar,1977-06-03,Female,ira.dar699@hotmail.com,+919951435705,Careers adviser,3500000.0,2019-04-26,Low,Active,2026-08-03 12:12:08.839963,2026-08-03 12:12:08.839963,Enterprise System
CUST00005053,Rajeshri,Kakar,1983-06-16,Prefer Not to Say,rajeshri.kakar544@yahoo.com,+919644075294,"Surveyor, building control",300000.0,2023-08-08,High,Dormant,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005054,Fariq,Pillay,2007-04-11,Prefer Not to Say,fariq.pillay447@outlook.com,+919763129472,Forensic scientist,800000.0,2026-06-12,Medium,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005055,Vrishti,Minhas,1995-06-30,Non-Binary,vrishti.minhas996@hotmail.com,+919359246287,Biomedical scientist,300000.0,2020-12-16,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005056,Isha,Bal,1981-09-14,Female,isha.bal384@gmail.com,+919295662006,Surgeon,3500000.0,2001-08-21,Low,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005057,Onkar,Dua,1950-01-25,Female,onkar.dua415@gmail.com,+919517986529,"Engineer, civil (consulting)",300000.0,1982-05-19,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005058,Manya,Khatri,1960-05-30,Non-Binary,manya.khatri748@hotmail.com,+919951264082,"Designer, fashion/clothing",300000.0,2020-03-02,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005059,Anvi,Lad,1948-04-13,Prefer Not to Say,anvi.lad710@yahoo.com,+919921188179,Press sub,500000.0,2011-12-18,High,Dormant,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005060,Hema,Sengupta,1963-11-23,Male,hema.sengupta621@outlook.com,+919168511250,"Librarian, academic",300000.0,1995-01-21,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005061,Riya,Gill,1975-09-08,Female,riya.gill21@yahoo.com,+919156843497,Clinical research associate,300000.0,2003-06-25,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005062,George,Pall,1973-02-03,Prefer Not to Say,george.pall227@outlook.com,+919334099495,Personnel officer,300000.0,2021-08-26,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005063,Nidhi,Banerjee,1966-11-11,Prefer Not to Say,nidhi.banerjee93@yahoo.com,+919842489243,Licensed conveyancer,2000000.0,2021-03-27,Low,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005064,Andrew,Baria,1973-04-20,Female,andrew.baria59@yahoo.com,+919386619397,Microbiologist,300000.0,2003-02-27,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005065,Aarush,Mangal,1955-11-12,Prefer Not to Say,aarush.mangal677@yahoo.com,+919944392747,Consulting civil engineer,300000.0,2017-04-24,High,Blocked,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005066,Tristan,Sur,1986-05-31,Male,tristan.sur546@gmail.com,+919733842966,Electrical engineer,800000.0,2005-05-30,Medium,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005067,Yachana,Raj,1985-03-22,Female,yachana.raj395@yahoo.com,+919081703539,Hotel manager,3500000.0,2007-10-02,Low,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005068,Oliver,Datta,1987-08-06,Male,oliver.datta384@outlook.com,+919379786064,Child psychotherapist,800000.0,2014-02-24,Medium,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005069,Wridesh,Borra,1962-06-03,Male,wridesh.borra611@hotmail.com,+919695698519,Clinical embryologist,500000.0,1982-06-12,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005070,Jackson,Deshpande,1971-07-17,Non-Binary,jackson.deshpande651@outlook.com,+919723510720,Technical brewer,1200000.0,2013-01-29,Medium,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005071,Viraj,Parekh,1981-12-09,Female,viraj.parekh575@outlook.com,+919257975934,"Programmer, multimedia",800000.0,2025-05-23,Medium,Blocked,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005072,Baljiwan,Srinivasan,2005-03-07,Female,baljiwan.srinivasan245@outlook.com,+919964172185,Artist,500000.0,2025-10-25,High,Dormant,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005073,Benjamin,Gera,1975-12-28,Male,benjamin.gera66@outlook.com,+919750298619,Public house manager,300000.0,2022-08-31,High,Dormant,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005074,Samaksh,Shan,1971-09-30,Prefer Not to Say,samaksh.shan955@yahoo.com,+919212582686,Legal secretary,500000.0,1994-04-23,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005075,Vrishti,Dubey,1980-07-30,Female,vrishti.dubey957@outlook.com,+919784697051,Technical sales engineer,300000.0,2010-11-28,High,Active,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005076,Arunima,Bala,1950-01-30,Male,arunima.bala531@outlook.com,+919962670571,"Programme researcher, broadcasting/film/video",800000.0,2002-03-10,Medium,Blocked,2026-08-03 12:12:08.841011,2026-08-03 12:12:08.841011,Enterprise System
CUST00005077,Baljiwan,Morar,1982-09-04,Female,baljiwan.morar388@hotmail.com,+919041367033,Veterinary surgeon,300000.0,2017-05-15,High,Active,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005078,Rudra,Sengupta,1950-05-29,Prefer Not to Say,rudra.sengupta335@outlook.com,+919986814290,Patent examiner,3500000.0,1989-05-27,Low,Active,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005079,Guneet,Saxena,1976-03-17,Non-Binary,guneet.saxena194@outlook.com,+919945246474,"Lighting technician, broadcasting/film/video",800000.0,2012-04-01,Medium,Dormant,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005080,Robert,Kulkarni,2006-03-06,Female,robert.kulkarni188@hotmail.com,+919612001456,Museum/gallery curator,800000.0,2025-03-24,Medium,Active,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005081,Rajata,Wason,2001-04-09,Female,rajata.wason48@yahoo.com,+919622903497,"Copywriter, advertising",500000.0,2020-07-01,High,Active,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005082,Meghana,Rattan,1990-05-15,Female,meghana.rattan289@gmail.com,+919981400067,"Research officer, political party",1200000.0,2020-02-09,Medium,Closed,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005083,Bhavani,Saraf,1973-11-14,Female,bhavani.saraf834@gmail.com,+919799042141,Retail merchandiser,5000000.0,2016-10-28,Low,Blocked,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005084,Mitesh,Prasad,2007-07-03,Male,mitesh.prasad378@hotmail.com,+919819978718,Product/process development scientist,800000.0,2025-06-28,Medium,Active,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005085,Charvi,Devi,1956-04-12,Prefer Not to Say,charvi.devi649@gmail.com,+919133271111,Water engineer,300000.0,2001-11-03,High,Active,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005086,Caleb,Memon,1949-08-20,Non-Binary,caleb.memon92@hotmail.com,+919696334840,Dispensing optician,300000.0,1980-11-24,High,Active,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005087,Barkha,Dar,1986-07-31,Female,barkha.dar838@outlook.com,+919881246256,"Physicist, medical",2000000.0,2013-06-28,Low,Active,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
CUST00005088,Ekbal,Mohanty,1949-01-30,Male,ekbal.mohanty37@gmail.com,+919981358047,Multimedia specialist,2000000.0,2012-07-29,Low,Blocked,2026-08-03 12:12:08.842073,2026-08-03 12:12:08.842073,Enterprise System
