customer_id,pan_number,aadhaar_number,pan_verified,aadhaar_verified,address_verified,kyc_status,verification_date
CUST00005001,FPMXD2813Y,845803780392,False,True,True,Pending,
CUST00005002,KIBSG5085X,916630046463,False,True,True,Pending,
CUST00005003,RPHAA8608I,762423098376,True,True,False,Pending,
CUST00005004,LZSIO1637Z,394282880845,False,False,False,Pending,
CUST00005005,ZGUMO7601P,418231349608,False,False,False,Pending,
CUST00005006,VGWME3811R,680736846458,True,True,True,Pending,
CUST00005007,MZWFS3303Q,848669231919,True,False,False,Pending,
CUST00005008,TJUCL8161V,989807707463,False,False,False,Pending,
CUST00005009,WZNSZ3939K,410412235758,False,False,True,Pending,
CUST00005010,BETNK4279O,255897962377,False,False,False,Pending,
CUST00005011,PGIBW1620Z,369862396909,True,True,True,Verified,1998-01-27
CUST00005012,SLVOP2905U,314456322304,True,False,True,Pending,
CUST00005013,LRXEW4894X,619617328962,True,True,True,Pending,
CUST00005014,CBAES9033O,513971981952,False,False,False,Pending,
CUST00005015,CWXBC2834C,944472291415,False,True,True,Pending,
CUST00005016,TDYGE7533T,831472927305,True,True,False,Pending,
CUST00005017,BTVGR1599R,310551590791,True,True,True,Verified,2010-05-30
CUST00005018,XZBEH2731Q,515616662746,True,True,True,Pending,
CUST00005019,IPUMN5414Y,644618982550,True,True,True,Verified,2023-07-11
CUST00005020,ANWRT1262F,151783421390,True,False,False,Pending,
CUST00005021,CUEKQ9665P,690895430065,False,False,False,Pending,
CUST00005022,BHJWB5633H,326787324366,False,True,False,Pending,
CUST00005023,PCPXD3720U,435053507338,False,True,True,Pending,
CUST00005024,HQMSQ7293D,967679016035,True,False,False,Pending,
CUST00005025,PCMCO8513D,268479192431,False,True,False,Pending,
CUST00005026,MNVVJ7742K,872227563737,False,False,False,Pending,
CUST00005027,ZSMSP5589C,727461087727,True,False,True,Pending,
CUST00005028,YHQJF5938V,723116804729,False,True,False,Pending,
CUST00005029,SXHOO8545Z,088664656376,True,False,True,Pending,
CUST00005030,EJJWZ1395R,051431206419,False,True,True,Pending,
CUST00005031,QXFSR2419M,240713325224,False,False,True,Pending,
CUST00005032,UHRBD4175Z,873928929515,False,True,False,Pending,
CUST00005033,MFYWC4051K,802211376754,False,False,True,Pending,
CUST00005034,PWJWE8580Z,176235785033,False,True,False,Pending,
CUST00005035,JOCZW2064B,838186789257,False,False,False,Rejected,2026-07-30
CUST00005036,FQNDF9110O,635348107790,False,True,True,Pending,
CUST00005037,CRTLK1278P,386770787866,True,False,True,Pending,
CUST00005038,MWAAF6772C,480358831615,True,True,True,Verified,2019-10-07
CUST00005039,OJTVW3952Z,296453518549,False,False,False,Pending,
CUST00005040,FJTPR7093D,951319403558,True,True,False,Pending,
CUST00005041,IZNAC9682D,345407866600,True,True,False,Pending,
CUST00005042,ZNWTG1232F,952350994586,True,False,False,Pending,
CUST00005043,SWROL6259R,436574130411,True,False,False,Pending,
CUST00005044,GOQPB6305B,979274209781,True,False,True,Pending,
CUST00005045,AJXVE3659D,043725632004,False,True,False,Pending,
CUST00005046,GDEZM4245Q,331336096526,False,False,False,Rejected,2021-07-18
