transaction_id,account_id,merchant_id,card_id,transaction_timestamp,transaction_type,transaction_channel,transaction_status,amount,currency,reference_number,narration,location_city,location_state,is_international,created_at,updated_at,source_system
TR00450001,ACC00007712,,CD00008077,2022-01-04 22:30:56,Credit,NEFT,Pending,90459.53,INR,TXNUTR202608036613341913,Funds Credited,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.348554,,Enterprise System
TR00450002,ACC00007770,,CD00008142,2019-04-16 02:48:04,Debit,Mobile Banking,Success,56587.02,INR,TXNUTR202608030684929866,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.348554,,Enterprise System
TR00450003,ACC00007710,,CD00008076,2026-02-14 20:51:36,Credit,NEFT,Success,93253.0,INR,TXNUTR202608033087561569,Funds Credited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.348554,,Enterprise System
TR00450004,ACC00007768,,CD00008141,2019-01-10 22:44:15,Credit,UPI,Success,17871.86,INR,TXNUTR202608031726957438,Funds Credited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.348554,,Enterprise System
TR00450005,ACC00007746,,CD00008119,2024-02-12 18:23:55,Credit,UPI,Success,21226.72,INR,TXNUTR202608030616044930,Funds Credited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.348554,,Enterprise System
TR00450006,ACC00007718,,CD00008086,2020-09-14 02:05:05,Debit,ATM,Success,3876.19,INR,TXNUTR202608032365814079,Funds Debited,North Tripura,TRIPURA,No,2026-08-03 12:22:46.350065,,Enterprise System
TR00450007,ACC00007716,MER00001150,,2014-11-22 15:12:31,POS Purchase,POS,Completed,15839.68,INR,TXNUTR202608035007263912,POS Purchase at Royal Yohannan Fashion,JEHANABAD,BIHAR,No,2026-08-03 12:22:46.350065,,Enterprise System
TR00450008,ACC00007708,,CD00008074,2020-06-14 11:56:08,Credit,IMPS,Success,413080.03,INR,TXNUTR202608036275289790,Funds Credited,MATHURA,UTTAR PRADESH,No,2026-08-03 12:22:46.351074,,Enterprise System
TR00450009,ACC00007752,,CD00008125,2026-05-05 07:59:48,Debit,UPI,Pending,856.98,INR,TXNUTR202608033277137150,Funds Debited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.351074,,Enterprise System
TR00450010,ACC00007728,,CD00008098,2016-12-06 06:56:10,Transfer,RTGS,Success,791661.58,INR,TXNUTR202608039657169534,RTGS Transfer,BURHANPUR,MADHYA PRADESH,No,2026-08-03 12:22:46.351074,,Enterprise System
TR00450011,ACC00007730,,CD00008099,2021-04-12 05:44:21,Credit,NEFT,Success,91711.48,INR,TXNUTR202608039910170851,Funds Credited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.352073,,Enterprise System
TR00450012,ACC00007718,,CD00008085,2019-03-04 03:58:13,Debit,Online Banking,Success,37514.7,INR,TXNUTR202608038454325428,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.352073,,Enterprise System
TR00450013,ACC00007745,,CD00008117,2024-07-02 22:26:48,Credit,Branch,Reversed,75340.63,INR,TXNUTR202608034346768749,Funds Credited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.352073,,Enterprise System
TR00450014,ACC00007731,,,2026-03-09 17:24:42,Credit,Branch,Reversed,87868.73,INR,TXNUTR202608030225522134,Funds Credited,KOLHAPUR,MAHARASHTRA,No,2026-08-03 12:22:46.352073,,Enterprise System
TR00450015,ACC00007746,,CD00008118,2025-10-18 23:40:10,Deposit,Cheque,Success,641370.67,INR,TXNUTR202608036301143508,Cash Deposit,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.352073,,Enterprise System
TR00450016,ACC00007742,,CD00008115,2024-11-18 11:16:50,Credit,IMPS,Success,60858.46,INR,TXNUTR202608038152663814,Funds Credited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.353072,,Enterprise System
TR00450017,ACC00007718,,CD00008086,2014-02-13 17:17:03,Credit,RTGS,Success,1569064.1,INR,TXNUTR202608039828412956,Funds Credited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.353072,,Enterprise System
TR00450018,ACC00007729,MER00001115,,2024-06-06 01:16:20,Bill Payment,Mobile Banking,Success,97818.66,INR,TXNUTR202608030382290010,Bill Payment - Royal Kamdar Tours,BANKURA,WEST BENGAL,No,2026-08-03 12:22:46.353072,,Enterprise System
TR00450019,ACC00007731,,,2025-11-28 14:11:30,Debit,ATM,Success,477.84,INR,TXNUTR202608032229963667,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.353072,,Enterprise System
TR00450020,ACC00007742,,CD00008115,2024-02-17 04:22:07,Credit,NEFT,Success,382248.93,INR,TXNUTR202608039804461032,Funds Credited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.353072,,Enterprise System
TR00450021,ACC00007701,,CD00008065,2026-02-12 03:22:27,Debit,POS,Success,28020.84,INR,TXNUTR202608032041023168,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.353072,,Enterprise System
TR00450022,ACC00007738,MER00001136,CD00008110,2024-11-01 15:35:31,Online Payment,UPI,Success,22056.11,INR,TXNUTR202608032892367284,Online Payment to Om Sibal Academy,CACHAR,ASSAM,No,2026-08-03 12:22:46.354073,,Enterprise System
TR00450023,ACC00007749,,CD00008122,2026-07-04 11:13:19,Deposit,Branch,Success,370844.87,INR,TXNUTR202608037703560222,Cash Deposit,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.354073,,Enterprise System
TR00450024,ACC00007728,,CD00008098,2012-12-13 03:50:59,Credit,RTGS,Success,1257428.89,INR,TXNUTR202608038862190912,Funds Credited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.354073,,Enterprise System
TR00450025,ACC00007708,,CD00008074,2025-02-03 00:13:00,Credit,IMPS,Success,200872.76,INR,TXNUTR202608034150048480,Funds Credited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.354073,,Enterprise System
TR00450026,ACC00007704,,CD00008068,2025-11-27 19:14:05,Deposit,Cheque,Success,768115.69,INR,TXNUTR202608039301305690,Cash Deposit,UDALGURI,ASSAM,No,2026-08-03 12:22:46.354073,,Enterprise System
TR00450027,ACC00007769,MER00001124,,2025-12-21 04:27:05,POS Purchase,POS,Success,74671.67,INR,TXNUTR202608031134056983,POS Purchase at Shree Banerjee Dhaba,RATNAGIRI,MAHARASHTRA,No,2026-08-03 12:22:46.354073,,Enterprise System
TR00450028,ACC00007749,,CD00008122,2026-07-21 10:45:59,Credit,NEFT,Pending,96582.14,INR,TXNUTR202608038294020146,Funds Credited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.354073,,Enterprise System
TR00450029,ACC00007714,MER00001136,,2026-07-03 01:57:23,POS Purchase,POS,Success,25370.76,INR,TXNUTR202608034377574348,POS Purchase at Om Sibal Academy,CACHAR,ASSAM,No,2026-08-03 12:22:46.355072,,Enterprise System
TR00450030,ACC00007737,,CD00008109,2016-09-27 17:03:08,Transfer,Online Banking,Success,79614.22,INR,TXNUTR202608032397482627,Online Banking Transfer,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.355072,,Enterprise System
TR00450031,ACC00007734,MER00001115,CD00008105,2024-10-30 21:43:24,POS Purchase,POS,Success,55728.82,INR,TXNUTR202608037954964861,POS Purchase at Royal Kamdar Tours,BANKURA,WEST BENGAL,No,2026-08-03 12:22:46.355072,,Enterprise System
TR00450032,ACC00007714,,,2026-06-01 21:48:24,Debit,Mobile Banking,Success,35571.62,INR,TXNUTR202608033504279971,Funds Debited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.355072,,Enterprise System
TR00450033,ACC00007758,,CD00008130,2026-01-15 09:59:40,Debit,Online Banking,Success,10057.68,INR,TXNUTR202608035980748385,Funds Debited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.355072,,Enterprise System
TR00450034,ACC00007705,,CD00008070,2025-05-10 09:23:26,Debit,Online Banking,Success,3413.85,INR,TXNUTR202608039092782012,Funds Debited,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.355072,,Enterprise System
TR00450035,ACC00007715,,CD00008081,2020-09-13 07:40:22,Withdrawal,Branch,Success,10744.3,INR,TXNUTR202608038165242473,Cash Withdrawal,GOLAGHAT,ASSAM,No,2026-08-03 12:22:46.356072,,Enterprise System
TR00450036,ACC00007765,MER00001148,CD00008137,2025-11-05 22:20:23,POS Purchase,POS,Success,4361.19,INR,TXNUTR202608037242480183,POS Purchase at Sai Bhandari Multiplex,JALANDHAR,PUNJAB,No,2026-08-03 12:22:46.357075,,Enterprise System
TR00450037,ACC00007762,,CD00008134,2021-03-25 06:17:45,Debit,ATM,Success,16915.46,INR,TXNUTR202608037414165048,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.357075,,Enterprise System
TR00450038,ACC00007715,,CD00008080,2026-05-20 09:01:49,Debit,Mobile Banking,Success,46199.3,INR,TXNUTR202608033566156609,Funds Debited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.357075,,Enterprise System
TR00450039,ACC00007748,,CD00008121,2018-04-09 10:47:34,Debit,POS,Success,26848.76,INR,TXNUTR202608034454214867,Funds Debited,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.357075,,Enterprise System
TR00450040,ACC00007730,MER00001145,CD00008099,2024-10-08 06:22:06,POS Purchase,POS,Success,28776.56,INR,TXNUTR202608033227627766,POS Purchase at Prime Bawa Energy,BARPETA,ASSAM,No,2026-08-03 12:22:46.358134,,Enterprise System
TR00450041,ACC00007737,,CD00008109,2026-01-24 00:38:30,Credit,NEFT,Success,433071.4,INR,TXNUTR202608037854505763,Funds Credited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.358134,,Enterprise System
TR00450042,ACC00007757,MER00001107,CD00008129,2026-03-20 19:53:53,POS Purchase,POS,Success,74261.43,INR,TXNUTR202608033757516199,POS Purchase at Sai Kumer Institute,Biswanath,ASSAM,No,2026-08-03 12:22:46.358134,,Enterprise System
TR00450043,ACC00007758,,CD00008130,2021-05-03 06:08:15,Debit,POS,Failed,25272.21,INR,TXNUTR202608034872868987,Funds Debited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.358134,,Enterprise System
TR00450044,ACC00007745,,CD00008117,2024-09-30 13:18:44,Credit,IMPS,Success,60828.75,INR,TXNUTR202608038830174419,Funds Credited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.358134,,Enterprise System
TR00450045,ACC00007761,MER00001112,CD00008132,2026-06-25 00:50:57,Online Payment,Mobile Banking,Failed,98914.78,INR,TXNUTR202608038557473374,Online Payment to Shree Rajan Electricity,CHITRADURGA,KARNATAKA,No,2026-08-03 12:22:46.359170,,Enterprise System
TR00450046,ACC00007748,,CD00008121,2015-07-30 18:05:04,Transfer,RTGS,Success,1220748.2,INR,TXNUTR202608034477508922,RTGS Transfer,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.359170,,Enterprise System
TR00450047,ACC00007764,MER00001111,,2024-11-13 22:42:13,POS Purchase,POS,Success,38781.96,INR,TXNUTR202608036228326842,POS Purchase at Prime Balasubramanian Traders,SPSR NELLORE,ANDHRA PRADESH,No,2026-08-03 12:22:46.359170,,Enterprise System
TR00450048,ACC00007717,MER00001117,CD00008084,2026-07-16 10:03:52,Online Payment,Online Banking,Success,93532.46,INR,TXNUTR202608035455025525,Online Payment to Om Rajan Water Supply,NABARANGPUR,ODISHA,No,2026-08-03 12:22:46.359775,,Enterprise System
TR00450049,ACC00007701,,CD00008065,2025-09-09 13:40:06,Credit,IMPS,Reversed,141170.66,INR,TXNUTR202608033476985321,Funds Credited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.359775,,Enterprise System
TR00450050,ACC00007721,MER00001146,CD00008089,2026-02-17 09:46:08,POS Purchase,POS,Success,254.62,INR,TXNUTR202608034581027771,POS Purchase at Shree Mani Enterprise,AURANGABAD,MAHARASHTRA,No,2026-08-03 12:22:46.359775,,Enterprise System
TR00450051,ACC00007766,,CD00008139,2026-02-16 04:58:36,Deposit,Cheque,Success,797748.4,INR,TXNUTR202608030863094995,Cash Deposit,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.359775,,Enterprise System
TR00450052,ACC00007750,,CD00008123,2022-01-21 01:18:13,Debit,UPI,Success,4911.82,INR,TXNUTR202608031915452042,Funds Debited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.359775,,Enterprise System
