account_id,customer_id,branch_id,account_opened_branch_id,account_number,account_type,currency,account_status,open_date,current_balance,interest_rate,account_created_city,account_created_state,created_at,updated_at,source_system
ACC00000001,CUST00001384,BR00000014,BR00000014,237113096645,Current,INR,Active,2010-05-08,2354254.03,0.0,Tirupathur,TAMIL NADU,2026-07-25 05:50:26.772727,,Enterprise System
ACC00000002,CUST00001882,BR00000030,BR00000030,054502233275,Savings,INR,Closed,2007-05-31,412020.51,4.46,PASCHIM BARDHAMAN,WEST BENGAL,2026-07-25 05:50:26.773650,,Enterprise System
ACC00000003,CUST00004902,BR00000002,BR00000002,496696399352,Salary,INR,Dormant,2015-12-02,246632.72,3.06,CHENGALPATTU,TAMIL NADU,2026-07-25 05:50:26.773650,,Enterprise System
ACC00000004,CUST00001525,BR00000050,BR00000050,081591950067,Savings,INR,Active,2014-11-23,212680.52,2.71,JAIPUR,RAJASTHAN,2026-07-25 05:50:26.774650,,Enterprise System
ACC00000005,CUST00004655,BR00000036,BR00000036,976971430075,Salary,INR,Active,2014-02-26,68293.69,2.89,SONIPAT,HARYANA,2026-07-25 05:50:26.774650,,Enterprise System
ACC00000006,CUST00000961,BR00000036,BR00000036,406566757091,Current,INR,Active,2011-04-24,911038.62,0.0,SONIPAT,HARYANA,2026-07-25 05:50:26.774650,,Enterprise System
ACC00000007,CUST00000432,BR00000009,BR00000009,364513759169,Savings,INR,Active,2010-01-18,364932.96,3.25,KASARAGOD,KERALA,2026-07-25 05:50:26.775649,,Enterprise System
ACC00000008,CUST00000377,BR00000005,BR00000036,510559379346,Current,INR,Active,2025-02-12,491253.53,0.0,SONIPAT,HARYANA,2026-07-25 05:50:26.776755,,Enterprise System
ACC00000009,CUST00000298,BR00000045,BR00000045,178899452007,Savings,INR,Active,2009-07-09,166094.61,2.76,TIRUCHIRAPPALLI,TAMIL NADU,2026-07-25 05:50:26.776755,,Enterprise System
ACC00000010,CUST00000717,BR00000022,BR00000022,693463553340,Savings,INR,Active,2020-12-01,111541.33,3.98,HAVERI,KARNATAKA,2026-07-25 05:50:26.776755,,Enterprise System
ACC00000011,CUST00003988,BR00000042,BR00000042,178433516881,Fixed Deposit,INR,Active,2007-08-23,1334592.39,7.27,BHAVNAGAR,GUJARAT,2026-07-25 05:50:26.777648,,Enterprise System
ACC00000012,CUST00001335,BR00000048,BR00000048,050545955947,Savings,INR,Active,2007-07-30,112430.02,4.04,MANCHERIAL,TELANGANA,2026-07-25 05:50:26.777648,,Enterprise System
ACC00000013,CUST00001174,BR00000034,BR00000034,453568861541,Savings,INR,Frozen,2009-10-01,330047.24,4.44,NAVSARI,GUJARAT,2026-07-25 05:50:26.777648,,Enterprise System
ACC00000014,CUST00001860,BR00000016,BR00000016,324030293440,Savings,INR,Closed,2014-01-01,162711.48,3.91,UNA,HIMACHAL PRADESH,2026-07-25 05:50:26.778646,,Enterprise System
ACC00000015,CUST00004176,BR00000024,BR00000024,825163685395,Fixed Deposit,INR,Active,2014-06-24,4341904.12,6.47,KARUR,TAMIL NADU,2026-07-25 05:50:26.778646,,Enterprise System
ACC00000016,CUST00004183,BR00000026,BR00000026,511062137128,Current,INR,Active,2023-10-04,1449734.78,0.0,AURANGABAD,BIHAR,2026-07-25 05:50:26.778646,,Enterprise System
ACC00000017,CUST00001251,BR00000033,BR00000033,800516050219,Savings,INR,Active,2007-06-19,282238.75,2.54,ANAND,GUJARAT,2026-07-25 05:50:26.778646,,Enterprise System
ACC00000018,CUST00003162,BR00000011,BR00000011,204981867816,Salary,INR,Active,2025-08-28,217256.04,3.01,KABIRDHAM,CHHATTISGARH,2026-07-25 05:50:26.779643,,Enterprise System
ACC00000019,CUST00001779,BR00000007,BR00000007,231285410460,Current,INR,Active,2013-04-30,1514954.33,0.0,SPSR NELLORE,ANDHRA PRADESH,2026-07-25 05:50:26.779643,,Enterprise System
ACC00000020,CUST00004857,BR00000018,BR00000018,688765305287,Savings,INR,Active,2025-02-07,294934.99,3.98,ALAPPUZHA,KERALA,2026-07-25 05:50:26.779643,,Enterprise System
ACC00000021,CUST00002230,BR00000022,BR00000022,014282841775,Salary,INR,Active,2020-11-01,2158.22,3.48,HAVERI,KARNATAKA,2026-07-25 05:50:26.779643,,Enterprise System
ACC00000022,CUST00004889,BR00000023,BR00000023,316284326747,Savings,INR,Active,2014-01-23,185736.27,3.61,MAHABUBABAD,TELANGANA,2026-07-25 05:50:26.779643,,Enterprise System
