USER_TYPE,USER_ID,MOCK_PASSWORD,STATUS,DESIGNATION (IF REQUIRED)
CUSTOMER,CUST00000001,Cust@1x,ACTIVE, 
CUSTOMER,CUST00000002,Cust@2x,ACTIVE, 
CUSTOMER,CUST00000003,Cust@3x,ACTIVE, 
CUSTOMER,CUST00000004,Cust@4x,ACTIVE, 
CUSTOMER,CUST00000005,Cust@5x,ACTIVE, 
CUSTOMER,CUST00000006,Cust@6x,ACTIVE, 
CUSTOMER,CUST00000007,Cust@7x,ACTIVE, 
CUSTOMER,CUST00000008,Cust@8x,DORMANT, 
CUSTOMER,CUST00000009,Cust@9x,ACTIVE, 
CUSTOMER,CUST00000010,Cust@10x,ACTIVE, 
CUSTOMER,CUST00000011,Cust@11x,ACTIVE, 
CUSTOMER,CUST00000012,Cust@12x,ACTIVE, 
CUSTOMER,CUST00000013,Cust@13x,ACTIVE, 
CUSTOMER,CUST00000014,Cust@14x,ACTIVE, 
CUSTOMER,CUST00000015,Cust@15x,CLOSED, 
CUSTOMER,CUST00000016,Cust@16x,ACTIVE, 
CUSTOMER,CUST00000017,Cust@17x,ACTIVE, 
CUSTOMER,CUST00000018,Cust@18x,ACTIVE, 
CUSTOMER,CUST00000019,Cust@19x,ACTIVE, 
CUSTOMER,CUST00000020,Cust@20x,DORMANT, 
CUSTOMER,CUST00000021,Cust@21x,BLOCKED, 
CUSTOMER,CUST00000022,Cust@22x,ACTIVE, 
CUSTOMER,CUST00000023,Cust@23x,BLOCKED, 
CUSTOMER,CUST00000024,Cust@24x,ACTIVE, 
CUSTOMER,CUST00000025,Cust@25x,ACTIVE, 
CUSTOMER,CUST00000026,Cust@26x,ACTIVE, 
CUSTOMER,CUST00000027,Cust@27x,ACTIVE, 
CUSTOMER,CUST00000028,Cust@28x,DORMANT, 
CUSTOMER,CUST00000029,Cust@29x,ACTIVE, 
CUSTOMER,CUST00000030,Cust@30x,ACTIVE, 
CUSTOMER,CUST00000031,Cust@31x,ACTIVE, 
CUSTOMER,CUST00000032,Cust@32x,ACTIVE, 
CUSTOMER,CUST00000033,Cust@33x,ACTIVE, 
CUSTOMER,CUST00000034,Cust@34x,CLOSED, 
CUSTOMER,CUST00000035,Cust@35x,ACTIVE, 
CUSTOMER,CUST00000036,Cust@36x,ACTIVE, 
CUSTOMER,CUST00000037,Cust@37x,ACTIVE, 
CUSTOMER,CUST00000038,Cust@38x,ACTIVE, 
CUSTOMER,CUST00000039,Cust@39x,ACTIVE, 
CUSTOMER,CUST00000040,Cust@40x,ACTIVE, 
CUSTOMER,CUST00000041,Cust@41x,ACTIVE, 
CUSTOMER,CUST00000042,Cust@42x,ACTIVE, 
CUSTOMER,CUST00000043,Cust@43x,BLOCKED, 
CUSTOMER,CUST00000044,Cust@44x,ACTIVE, 
CUSTOMER,CUST00000045,Cust@45x,ACTIVE, 
CUSTOMER,CUST00000046,Cust@46x,BLOCKED, 
CUSTOMER,CUST00000047,Cust@47x,ACTIVE, 
CUSTOMER,CUST00000048,Cust@48x,DORMANT, 
CUSTOMER,CUST00000049,Cust@49x,ACTIVE, 
CUSTOMER,CUST00000050,Cust@50x,ACTIVE, 
CUSTOMER,CUST00000051,Cust@51x,BLOCKED, 
CUSTOMER,CUST00000052,Cust@52x,ACTIVE, 
CUSTOMER,CUST00000053,Cust@53x,ACTIVE, 
CUSTOMER,CUST00000054,Cust@54x,BLOCKED, 
CUSTOMER,CUST00000055,Cust@55x,ACTIVE, 
CUSTOMER,CUST00000056,Cust@56x,ACTIVE, 
CUSTOMER,CUST00000057,Cust@57x,ACTIVE, 
CUSTOMER,CUST00000058,Cust@58x,ACTIVE, 
CUSTOMER,CUST00000059,Cust@59x,ACTIVE, 
CUSTOMER,CUST00000060,Cust@60x,ACTIVE, 
CUSTOMER,CUST00000061,Cust@61x,ACTIVE, 
CUSTOMER,CUST00000062,Cust@62x,ACTIVE, 
CUSTOMER,CUST00000063,Cust@63x,ACTIVE, 
CUSTOMER,CUST00000064,Cust@64x,ACTIVE, 
CUSTOMER,CUST00000065,Cust@65x,ACTIVE, 
CUSTOMER,CUST00000066,Cust@66x,ACTIVE, 
CUSTOMER,CUST00000067,Cust@67x,ACTIVE, 
CUSTOMER,CUST00000068,Cust@68x,ACTIVE, 
CUSTOMER,CUST00000069,Cust@69x,ACTIVE, 
CUSTOMER,CUST00000070,Cust@70x,ACTIVE, 
CUSTOMER,CUST00000071,Cust@71x,ACTIVE, 
CUSTOMER,CUST00000072,Cust@72x,ACTIVE, 
CUSTOMER,CUST00000073,Cust@73x,ACTIVE, 
CUSTOMER,CUST00000074,Cust@74x,ACTIVE, 
CUSTOMER,CUST00000075,Cust@75x,ACTIVE, 
CUSTOMER,CUST00000076,Cust@76x,ACTIVE, 
CUSTOMER,CUST00000077,Cust@77x,ACTIVE, 
CUSTOMER,CUST00000078,Cust@78x,ACTIVE, 
CUSTOMER,CUST00000079,Cust@79x,ACTIVE, 
CUSTOMER,CUST00000080,Cust@80x,ACTIVE, 
CUSTOMER,CUST00000081,Cust@81x,BLOCKED, 
CUSTOMER,CUST00000082,Cust@82x,ACTIVE, 
CUSTOMER,CUST00000083,Cust@83x,ACTIVE, 
CUSTOMER,CUST00000084,Cust@84x,CLOSED, 
CUSTOMER,CUST00000085,Cust@85x,ACTIVE, 
CUSTOMER,CUST00000086,Cust@86x,ACTIVE, 
CUSTOMER,CUST00000087,Cust@87x,ACTIVE, 
CUSTOMER,CUST00000088,Cust@88x,ACTIVE, 
CUSTOMER,CUST00000089,Cust@89x,ACTIVE, 
CUSTOMER,CUST00000090,Cust@90x,BLOCKED, 
CUSTOMER,CUST00000091,Cust@91x,ACTIVE, 
CUSTOMER,CUST00000092,Cust@92x,ACTIVE, 
CUSTOMER,CUST00000093,Cust@93x,ACTIVE, 
CUSTOMER,CUST00000094,Cust@94x,ACTIVE, 
CUSTOMER,CUST00000095,Cust@95x,ACTIVE, 
CUSTOMER,CUST00000096,Cust@96x,BLOCKED, 
CUSTOMER,CUST00000097,Cust@97x,ACTIVE, 
CUSTOMER,CUST00000098,Cust@98x,ACTIVE, 
CUSTOMER,CUST00000099,Cust@99x,DORMANT, 
CUSTOMER,CUST00000100,Cust@100x,ACTIVE, 
CUSTOMER,CUST00000101,Cust@101x,ACTIVE, 
CUSTOMER,CUST00000102,Cust@102x,ACTIVE, 
CUSTOMER,CUST00000103,Cust@103x,ACTIVE, 
CUSTOMER,CUST00000104,Cust@104x,ACTIVE, 
CUSTOMER,CUST00000105,Cust@105x,ACTIVE, 
CUSTOMER,CUST00000106,Cust@106x,ACTIVE, 
CUSTOMER,CUST00000107,Cust@107x,ACTIVE, 
CUSTOMER,CUST00000108,Cust@108x,ACTIVE, 
CUSTOMER,CUST00000109,Cust@109x,ACTIVE, 
CUSTOMER,CUST00000110,Cust@110x,ACTIVE, 
CUSTOMER,CUST00000111,Cust@111x,ACTIVE, 
CUSTOMER,CUST00000112,Cust@112x,ACTIVE, 
CUSTOMER,CUST00000113,Cust@113x,ACTIVE, 
CUSTOMER,CUST00000114,Cust@114x,ACTIVE, 
CUSTOMER,CUST00000115,Cust@115x,BLOCKED, 
CUSTOMER,CUST00000116,Cust@116x,ACTIVE, 
CUSTOMER,CUST00000117,Cust@117x,ACTIVE, 
CUSTOMER,CUST00000118,Cust@118x,BLOCKED, 
CUSTOMER,CUST00000119,Cust@119x,ACTIVE, 
CUSTOMER,CUST00000120,Cust@120x,ACTIVE, 
CUSTOMER,CUST00000121,Cust@121x,ACTIVE, 
CUSTOMER,CUST00000122,Cust@122x,DORMANT, 
CUSTOMER,CUST00000123,Cust@123x,ACTIVE, 
CUSTOMER,CUST00000124,Cust@124x,ACTIVE, 
CUSTOMER,CUST00000125,Cust@125x,ACTIVE, 
CUSTOMER,CUST00000126,Cust@126x,ACTIVE, 
CUSTOMER,CUST00000127,Cust@127x,ACTIVE, 
CUSTOMER,CUST00000128,Cust@128x,ACTIVE, 
CUSTOMER,CUST00000129,Cust@129x,ACTIVE, 
CUSTOMER,CUST00000130,Cust@130x,CLOSED, 
CUSTOMER,CUST00000131,Cust@131x,ACTIVE, 
CUSTOMER,CUST00000132,Cust@132x,ACTIVE, 
CUSTOMER,CUST00000133,Cust@133x,CLOSED, 
CUSTOMER,CUST00000134,Cust@134x,ACTIVE, 
CUSTOMER,CUST00000135,Cust@135x,ACTIVE, 
CUSTOMER,CUST00000136,Cust@136x,ACTIVE, 
CUSTOMER,CUST00000137,Cust@137x,ACTIVE, 
CUSTOMER,CUST00000138,Cust@138x,ACTIVE, 
CUSTOMER,CUST00000139,Cust@139x,BLOCKED, 
CUSTOMER,CUST00000140,Cust@140x,DORMANT, 
CUSTOMER,CUST00000141,Cust@141x,ACTIVE, 
CUSTOMER,CUST00000142,Cust@142x,ACTIVE, 
CUSTOMER,CUST00000143,Cust@143x,ACTIVE, 
CUSTOMER,CUST00000144,Cust@144x,ACTIVE, 
CUSTOMER,CUST00000145,Cust@145x,ACTIVE, 
CUSTOMER,CUST00000146,Cust@146x,ACTIVE, 
CUSTOMER,CUST00000147,Cust@147x,DORMANT, 
CUSTOMER,CUST00000148,Cust@148x,ACTIVE, 
CUSTOMER,CUST00000149,Cust@149x,ACTIVE, 
CUSTOMER,CUST00000150,Cust@150x,ACTIVE, 
CUSTOMER,CUST00000151,Cust@151x,ACTIVE, 
CUSTOMER,CUST00000152,Cust@152x,ACTIVE, 
CUSTOMER,CUST00000153,Cust@153x,ACTIVE, 
CUSTOMER,CUST00000154,Cust@154x,ACTIVE, 
CUSTOMER,CUST00000155,Cust@155x,ACTIVE, 
CUSTOMER,CUST00000156,Cust@156x,ACTIVE, 
CUSTOMER,CUST00000157,Cust@157x,DORMANT, 
CUSTOMER,CUST00000158,Cust@158x,BLOCKED, 
CUSTOMER,CUST00000159,Cust@159x,ACTIVE, 
CUSTOMER,CUST00000160,Cust@160x,ACTIVE, 
CUSTOMER,CUST00000161,Cust@161x,ACTIVE, 
CUSTOMER,CUST00000162,Cust@162x,ACTIVE, 
CUSTOMER,CUST00000163,Cust@163x,ACTIVE, 
CUSTOMER,CUST00000164,Cust@164x,ACTIVE, 
CUSTOMER,CUST00000165,Cust@165x,ACTIVE, 
CUSTOMER,CUST00000166,Cust@166x,ACTIVE, 
CUSTOMER,CUST00000167,Cust@167x,ACTIVE, 
CUSTOMER,CUST00000168,Cust@168x,BLOCKED, 
CUSTOMER,CUST00000169,Cust@169x,ACTIVE, 
CUSTOMER,CUST00000170,Cust@170x,ACTIVE, 
CUSTOMER,CUST00000171,Cust@171x,ACTIVE, 
CUSTOMER,CUST00000172,Cust@172x,ACTIVE, 
CUSTOMER,CUST00000173,Cust@173x,ACTIVE, 
