address_id,customer_id,address_type,address_line1,address_line2,city,state,postal_code,country,is_current,effective_date,expiry_date
ADDR00000001,CUST00000001,Permanent,31/978 Bawa,,Y.S.R.,ANDHRA PRADESH,516002,India,True,2019-03-20,
ADDR00000002,CUST00000002,Office,H.No. 400 Mishra Ganj,Apartment 61,CHENGALPATTU,TAMIL NADU,603105,India,True,2016-10-07,
ADDR00000003,CUST00000003,Home,H.No. 317 Shukla Zila,Apartment 243,SUNDARGARH,ODISHA,770022,India,True,2000-01-17,
ADDR00000004,CUST00000004,Permanent,86/016 Pant Street,Suite 6,KOREA,CHHATTISGARH,497442,India,True,2024-11-23,
ADDR00000005,CUST00000005,Permanent,84/194 Viswanathan Chowk,Floor 18,BHOPAL,MADHYA PRADESH,462023,India,True,2010-11-05,
ADDR00000006,CUST00000006,Permanent,H.No. 01 Jha Zila,Near Bus Stand,SUNDARGARH,ODISHA,770042,India,True,2023-06-28,
ADDR00000007,CUST00000007,Office,H.No. 35 Gandhi Circle,Suite 49,SPSR NELLORE,ANDHRA PRADESH,524341,India,True,2018-07-20,
ADDR00000008,CUST00000007,Mailing,28 Sawhney Circle,Near Bus Stand,UPPER SIANG,ARUNACHAL PRADESH,791103,India,False,1996-11-24,1997-09-01
ADDR00000009,CUST00000008,Mailing,07/279 Karan Nagar,Near Bus Stand,KASARAGOD,KERALA,671541,India,True,2013-10-04,
ADDR00000010,CUST00000009,Office,H.No. 616 Vala Nagar,Apartment 185,KANNAUJ,UTTAR PRADESH,209720,India,True,2022-10-25,
ADDR00000011,CUST00000010,Permanent,72/23 Rajagopalan,,KABIRDHAM,CHHATTISGARH,491996,India,True,2010-04-02,
ADDR00000012,CUST00000011,Office,71 Hora Circle,Near Metro Station,BALOD,CHHATTISGARH,491223,India,True,2016-12-12,
ADDR00000013,CUST00000012,Office,H.No. 30 Saini Chowk,Apartment 222,KOREA,CHHATTISGARH,497553,India,True,2017-10-30,
ADDR00000014,CUST00000013,Home,H.No. 024 Aurora Circle,Floor 13,Tirupathur,TAMIL NADU,635702,India,True,2025-07-19,
ADDR00000015,CUST00000014,Home,85/578 Aurora Nagar,Opposite City Mall,JALAUN,UTTAR PRADESH,285205,India,True,2024-11-24,
ADDR00000016,CUST00000014,Permanent,43/236 Gaba Street,,UNA,HIMACHAL PRADESH,174315,India,False,2007-10-02,2016-06-28
ADDR00000017,CUST00000015,Office,H.No. 690 Raja Marg,,JAMNAGAR,GUJARAT,361220,India,True,2026-06-15,
ADDR00000018,CUST00000016,Permanent,H.No. 74 Sodhi Marg,Near Metro Station,ALAPPUZHA,KERALA,690529,India,True,2026-07-01,
ADDR00000019,CUST00000017,Home,75 Sarkar Zila,Opposite City Mall,GHAZIABAD,UTTAR PRADESH,201019,India,True,2021-07-17,
ADDR00000020,CUST00000017,Home,52/15 D’Alia Nagar,,PALAKKAD,KERALA,679515,India,False,2022-05-19,2023-06-05
ADDR00000021,CUST00000018,Mailing,H.No. 26 Agrawal Zila,Apartment 233,DIBRUGARH,ASSAM,786613,India,True,2022-11-23,
ADDR00000022,CUST00000019,Office,H.No. 335 Virk Nagar,,HAVERI,KARNATAKA,581202,India,True,2024-08-28,
ADDR00000023,CUST00000020,Office,431 Yohannan,Apartment 235,MAHABUBABAD,TELANGANA,506381,India,True,2008-11-06,
ADDR00000024,CUST00000021,Home,24/84 Bhatti Circle,Opposite City Mall,KARUR,TAMIL NADU,639110,India,True,2023-02-03,
ADDR00000025,CUST00000022,Office,H.No. 041 Borde Marg,Near Bus Stand,WEST JAINTIA HILLS,MEGHALAYA,793119,India,True,2002-11-17,
ADDR00000026,CUST00000022,Permanent,021 Bobal Path,,AURANGABAD,BIHAR,824143,India,False,1988-12-07,2010-06-18
ADDR00000027,CUST00000023,Mailing,58 Mannan Marg,Floor 4,EAST,DELHI,110091,India,True,2022-03-10,
ADDR00000028,CUST00000024,Home,33/953 Chana Road,,PURBI CHAMPARAN,BIHAR,845419,India,True,2025-06-27,
ADDR00000029,CUST00000025,Mailing,H.No. 501 Tara Road,Suite 22,BALESHWAR,ODISHA,756051,India,True,2022-02-27,
ADDR00000030,CUST00000026,Mailing,H.No. 27 Samra Circle,Near Metro Station,PASCHIM BARDHAMAN,WEST BENGAL,713212,India,True,2025-09-03,
ADDR00000031,CUST00000027,Mailing,H.No. 73 Nazareth Circle,Near Bus Stand,LUDHIANA,PUNJAB,141120,India,True,1999-06-05,
ADDR00000032,CUST00000028,Permanent,12/817 Narayan Chowk,Flat 109,GONDIA,MAHARASHTRA,441806,India,True,2018-05-12,
ADDR00000033,CUST00000029,Mailing,395 Tank,,ANAND,GUJARAT,388150,India,True,2005-01-22,
ADDR00000034,CUST00000030,Mailing,H.No. 554 Puri Street,Suite 39,NAVSARI,GUJARAT,396380,India,True,2016-08-16,
ADDR00000035,CUST00000031,Permanent,09/723 Bahl Marg,Suite 29,PANCH MAHALS,GUJARAT,389210,India,True,2026-07-08,
ADDR00000036,CUST00000032,Permanent,H.No. 46 Mammen Path,,SONIPAT,HARYANA,131305,India,True,1994-03-23,
ADDR00000037,CUST00000033,Office,72 Parmar Nagar,,PURNIA,BIHAR,854327,India,True,2025-03-18,
ADDR00000038,CUST00000034,Office,10 Jani Chowk,Near Bus Stand,DHANBAD,JHARKHAND,828401,India,True,2024-09-30,
ADDR00000039,CUST00000035,Home,71/56 Srivastava Road,Suite 40,CHITTOOR,ANDHRA PRADESH,517643,India,True,2020-08-10,
ADDR00000040,CUST00000036,Office,37/031 Nadkarni Chowk,Apartment 329,CHIKKABALLAPURA,KARNATAKA,561213,India,True,2022-11-18,
ADDR00000041,CUST00000037,Permanent,802 Minhas Chowk,Near Bus Stand,UTTARA KANNADA,KARNATAKA,581314,India,True,2025-04-09,
ADDR00000042,CUST00000038,Permanent,H.No. 485 Golla Chowk,Near Metro Station,BHAVNAGAR,GUJARAT,364145,India,True,2023-08-25,
ADDR00000043,CUST00000039,Mailing,H.No. 292 Lad Path,Opposite City Mall,JHANSI,UTTAR PRADESH,284419,India,True,2024-01-20,
ADDR00000044,CUST00000039,Mailing,86 Seshadri Street,Near Metro Station,HYDERABAD,TELANGANA,500063,India,False,2025-09-13,2026-07-01
ADDR00000045,CUST00000040,Home,84/07 Sangha Marg,Apartment 357,TIRUCHIRAPPALLI,TAMIL NADU,621305,India,True,2019-09-15,
ADDR00000046,CUST00000041,Home,076 Dhawan Ganj,,MADURAI,TAMIL NADU,625020,India,True,2025-10-03,
ADDR00000047,CUST00000042,Mailing,H.No. 353 Rattan Circle,Floor 9,MALAPPURAM,KERALA,676562,India,True,2014-12-17,
ADDR00000048,CUST00000042,Office,25/923 Sankar Circle,Near Metro Station,MANCHERIAL,TELANGANA,504201,India,False,2014-11-18,2021-12-25
ADDR00000049,CUST00000043,Mailing,90 Balan Marg,Apartment 324,PASCHIM BARDHAMAN,WEST BENGAL,713361,India,True,2026-01-21,
ADDR00000050,CUST00000044,Mailing,86/93 Bhandari Street,Suite 18,JAIPUR,RAJASTHAN,303002,India,True,2025-07-16,
ADDR00000051,CUST00000045,Home,H.No. 34 Palan Nagar,Apartment 127,SONBHADRA,UTTAR PRADESH,231221,India,True,2020-09-04,
