employee_id,branch_id,first_name,last_name,designation,department,hire_date,salary,employee_status,created_at,updated_at,source_system
EMP00000001,BR00000012,Lajita,Chatterjee,Senior Associate,Corporate Banking,2018-10-09,622573.16,Resigned,2026-07-23 01:49:24.026507,,Enterprise System
EMP00000002,BR00000012,Hemangini,Lalla,Manager,Customer Service,2008-01-13,1421616.88,Active,2026-07-23 01:49:24.026507,,Enterprise System
EMP00000003,BR00000044,Tripti,Yadav,Senior Associate,Human Resources,2010-10-21,638233.66,Active,2026-07-23 01:49:24.026507,,Enterprise System
EMP00000004,BR00000002,Kritika,Brar,Manager,Retail Banking,2025-05-04,1939354.78,Active,2026-07-23 01:49:24.026507,,Enterprise System
EMP00000005,BR00000049,Chaaya,Pathak,Associate,Corporate Banking,2026-03-15,438419.66,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000006,BR00000034,Rehaan,Boase,Manager,Operations,2008-02-12,1955458.29,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000007,BR00000044,Vedant,Mann,Associate,Operations,2009-04-09,570354.05,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000008,BR00000003,Viraj,Chaudhuri,Officer,Finance,2019-06-29,934715.95,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000009,BR00000031,Arunima,Setty,Officer,Risk,2018-12-20,780041.71,On Leave,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000010,BR00000039,Nicholas,Prabhakar,Associate,Retail Banking,2018-08-24,564648.31,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000011,BR00000012,Shaurya,Loke,Assistant Manager,Technology,2008-12-26,1074829.21,On Leave,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000012,BR00000025,Onveer,Walla,Manager,Risk,2014-11-20,1414198.66,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000013,BR00000047,Nihal,Shere,Associate,Corporate Banking,2019-06-20,591722.28,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000014,BR00000045,Anamika,Kanda,Officer,Human Resources,2017-08-04,903855.44,Suspended,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000015,BR00000020,Daksh,Karnik,Associate,Retail Banking,2007-08-25,378835.44,Terminated,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000016,BR00000039,Diya,Rattan,Associate,Compliance,2015-09-01,359564.3,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000017,BR00000007,Dominic,Kakar,Associate,Finance,2025-11-08,459098.47,Terminated,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000018,BR00000046,Divya,Kala,Associate,Risk,2023-07-18,413680.63,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000019,BR00000031,Meghana,Shanker,Associate,Customer Service,2011-06-02,521714.29,Retired,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000020,BR00000045,Alka,Dewan,Officer,Risk,2014-12-12,809266.44,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000021,BR00000048,Adya,Sangha,Officer,Finance,2026-05-30,886946.62,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000022,BR00000042,Mohini,Pathak,Associate,Compliance,2014-01-07,476780.63,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000023,BR00000049,Lakshit,Upadhyay,Associate,Compliance,2023-05-08,488603.12,Active,2026-07-23 01:49:24.027515,,Enterprise System
EMP00000024,BR00000006,Gavin,Batta,Officer,Human Resources,2010-04-15,903195.38,Resigned,2026-07-23 01:49:24.027515,,Enterprise System
