alert_id,transaction_id,fraud_score,alert_reason,alert_status,alert_timestamp,assigned_to,assignee_emp_id,resolution_date,created_at,updated_at,source_system
ALR00000001,TR00160546,77,Multiple Failed Attempts,False Positive,2026-01-25 02:26:38,Kashvi Sarma,EMP00000045,2026-01-30,2026-07-25 05:53:11.889547,,Fraud Detection System
ALR00000002,TR00006334,79,High Transaction Amount,Resolved,2017-01-05 18:50:20,Jeremiah Dave,EMP00000041,2017-01-06,2026-07-25 05:53:11.891640,,Fraud Detection System
ALR00000003,TR00068708,10,Velocity Check Failed,Under Investigation,2014-10-14 14:36:13,Nakul Sarma,EMP00000089,,2026-07-25 05:53:11.893664,,Fraud Detection System
ALR00000004,TR00055722,68,High Transaction Amount,Under Investigation,2010-09-28 20:30:36,Indira Misra,EMP00000166,,2026-07-25 05:53:11.894550,,Fraud Detection System
ALR00000005,TR00185180,92,High Transaction Amount,Under Investigation,2013-07-02 13:39:36,Meghana Maharaj,EMP00000320,,2026-07-25 05:53:11.895638,,Fraud Detection System
ALR00000006,TR00169938,27,Multiple Failed Attempts,Resolved,2025-11-14 18:17:49,Nakul Sarma,EMP00000089,2025-11-27,2026-07-25 05:53:11.897588,,Fraud Detection System
ALR00000007,TR00223781,12,Velocity Check Failed,Open,2025-07-23 08:30:36,,,,2026-07-25 05:53:11.897588,,Fraud Detection System
ALR00000008,TR00021941,87,Location Mismatch,Resolved,2020-04-19 23:59:24,Zayan Behl,EMP00000096,2020-04-30,2026-07-25 05:53:11.899601,,Fraud Detection System
ALR00000009,TR00105976,3,Velocity Check Failed,Resolved,2013-04-21 21:16:14,Zayan Behl,EMP00000096,2013-05-01,2026-07-25 05:53:11.900547,,Fraud Detection System
ALR00000010,TR00007527,41,Location Mismatch,Resolved,2017-03-21 19:24:22,Jeremiah Dave,EMP00000041,2017-03-27,2026-07-25 05:53:11.901723,,Fraud Detection System
ALR00000011,TR00054486,38,Velocity Check Failed,Open,2022-12-05 21:41:09,,,,2026-07-25 05:53:11.902743,,Fraud Detection System
ALR00000012,TR00126936,18,High Transaction Amount,Under Investigation,2022-02-03 03:43:53,Nimrat Dubey,EMP00000296,,2026-07-25 05:53:11.903789,,Fraud Detection System
ALR00000013,TR00006653,25,Velocity Check Failed,Resolved,2026-06-30 17:51:17,Nicholas Goel,EMP00000108,2026-07-04,2026-07-25 05:53:11.904743,,Fraud Detection System
ALR00000014,TR00049576,34,Velocity Check Failed,Resolved,2014-09-13 16:27:46,Devansh Rajan,EMP00000026,2014-10-09,2026-07-25 05:53:11.905755,,Fraud Detection System
ALR00000015,TR00163200,11,Velocity Check Failed,Under Investigation,2018-10-02 06:33:23,Zaid Dara,EMP00000149,,2026-07-25 05:53:11.906744,,Fraud Detection System
ALR00000016,TR00136995,47,Card Not Present,Open,2019-08-24 06:13:32,,,,2026-07-25 05:53:11.907751,,Fraud Detection System
ALR00000017,TR00054923,6,High Transaction Amount,Under Investigation,2021-06-22 23:05:26,Nilima Nath,EMP00000260,,2026-07-25 05:53:11.908841,,Fraud Detection System
ALR00000018,TR00148010,64,Blacklisted Merchant,Resolved,2026-06-08 16:40:15,Pallavi Kakar,EMP00000043,2026-06-12,2026-07-25 05:53:11.909804,,Fraud Detection System
ALR00000019,TR00203857,96,Blacklisted Merchant,Under Investigation,2024-07-28 08:03:28,Mohini Pathak,EMP00000022,,2026-07-25 05:53:11.910835,,Fraud Detection System
ALR00000020,TR00001765,69,Velocity Check Failed,Resolved,2011-12-10 03:09:46,Benjamin Morar,EMP00000104,2012-01-07,2026-07-25 05:53:11.911746,,Fraud Detection System
ALR00000021,TR00203015,42,Velocity Check Failed,Resolved,2019-12-09 11:53:35,Chaaya Saran,EMP00000030,2019-12-29,2026-07-25 05:53:11.913755,,Fraud Detection System
ALR00000022,TR00175368,36,Blacklisted Merchant,Closed,2025-09-21 21:09:31,Gaurang Murty,EMP00000264,2025-09-22,2026-07-25 05:53:11.914840,,Fraud Detection System
ALR00000023,TR00085139,74,High Transaction Amount,False Positive,2025-10-10 01:48:48,Pranav Lanka,EMP00000120,2025-10-11,2026-07-25 05:53:11.915848,,Fraud Detection System
ALR00000024,TR00038829,10,Multiple Failed Attempts,Closed,2014-03-06 02:22:48,Zayyan Bumb,EMP00000179,2014-03-10,2026-07-25 05:53:11.916859,,Fraud Detection System
ALR00000025,TR00239466,5,Unusual Spending Pattern,False Positive,2023-03-13 22:13:22,Pallavi Kakar,EMP00000043,2023-03-23,2026-07-25 05:53:11.917846,,Fraud Detection System
ALR00000026,TR00084356,66,Blacklisted Merchant,Resolved,2024-10-14 09:38:49,Nakul Bhandari,EMP00000075,2024-10-25,2026-07-25 05:53:11.918856,,Fraud Detection System
ALR00000027,TR00023297,65,High Transaction Amount,Under Investigation,2010-08-28 16:14:30,Jyoti Solanki,EMP00000213,,2026-07-25 05:53:11.919837,,Fraud Detection System
ALR00000028,TR00024277,20,Card Not Present,Open,2024-07-27 14:13:19,,,,2026-07-25 05:53:11.920841,,Fraud Detection System
ALR00000029,TR00212694,70,Card Not Present,Under Investigation,2022-05-05 13:21:49,Ishwar Kamdar,EMP00000185,,2026-07-25 05:53:11.922743,,Fraud Detection System
